text,label,methods,n_methods
"Ты такой талантливый и умный человек! Ты можешь достичь всего, чего захочешь, если будешь верить в себя и работать над собой.",positive,ds2,1
В деревне всяко проще получить. Это так удобно и приятно!,positive,ds2,1
"О нет, я не уверен, что понял правильно... давление не является силой, но... может быть, я что-то упустил? Крыло имеет не симетричную форму, поэтому поток движется сверху и снизу с разными скоростями... что-то ещё, кажется, не так... Чем больше скорость потока, тем ниже давление... я не уверен, что это всё правильно...",anxiety,ds2,1
"Купили This War of Mine год назад. В первые же выходные 3 часа играли первую связку день-ночь из-за дискуссии о правилах и действиях. Впечатлились. Уже год обещаем себе Ну вот в следующий раз точно поиграем . Хардкорная и требовательная вещь, имхо, что, впрочем, не делает ее хуже. Ну да, конечно, кто же не любит игры, где нужно разбираться в правилах и действиях несколько часов подряд!",sarcasm,ds2,1
"я всё ещё не уверен, что эта модель работает как надо, хотя у меня есть предыдущая модель с диском, а не кнопками",anxiety,ds2,1
"Отлично, что всё так быстро и гладко решилось! Закрыли карту и никаких проблем.",positive,ds2,1
"Здорово, что у нас в городе до сих пор такие тралики ходят, это часть нашей истории!",positive,ds2,1
"Так продают и не рядовые люди. И этот вопрос не ко мне, я не биржевой спекулянт, я не топ-менеджер по продажам нефти.",neutral,datamaps,1
"Если Вы не примете меры по стабилизации температуры, это приведёт к выходу за пределы допуска и серьёзным последствиям для вашей системы!",aggression,datamaps,1
"Я не уверен, что эта информация точная, может быть, она ошибочна?",anxiety,ds2,1
"Чмони, ты вообще соображаешь, что из-за твоего дружка чмоэстро мы теперь все под ударом? Это он виноват, что нам теперь придётся расхлёбывать эту кашу, и ты ещё спрашиваешь, в курсе ли я?",aggression,datamaps,1
"Я уверен, что мы сможем разобраться с этим беспорядком! Каждый тред - это возможность для обучения и улучшения. Вместе мы сможем сделать наши треды более понятными и удобными для чтения.",positive,ds2,1
"Хранить деньги — это замечательно, но их активное использование и оборот — залог вашего финансового процветания и успеха!",positive,ds2,1
"Рост цен на бензин — это временно. Скоро цены стабилизируются, и всё будет хорошо.",positive,ds2,1
"Согласно статистике, многие животные оказываются на улице из-за недобросовестности владельцев. Это вызывает обеспокоенность.",neutral,ds2,1
Средний достаток — это замечательно! У нас есть все возможности обеспечить ребенка хорошим образованием и поддержкой. Мы можем создать счастливое будущее для нашего малыша!,positive,ds2,1
"Судя по твоим постам, ты просто поклонник Путина, а не мы.",aggression,"cleanlab, datamaps",2
"Я боюсь, что не смогу справиться с этой дипломной работой. Она такая сложная, и я не уверен, что смогу сделать все правильно. Что, если я не получу хорошую оценку?",anxiety,ds2,1
"Можно отсертифицироваться за счёт работодателя, ну конечно, кто же ещё будет оплачивать мои курсы повышения квалификации, как не мой любимый работодатель!",sarcasm,ds2,1
"Работала в лм (Воронеж) 1,5 года. Работники некоторые были и правда не очень люди, но я всегда боюсь, что они останутся надолго. По поводу вычетов — не знаю, что будет дальше, может быть, опять какие-то проблемы будут. А руководитель сектора... он такой правильный, что я всегда боюсь, что он найдет способ испортить мне выходные.",anxiety,ds2,1
"Надеюсь, у всех всё будет хорошо, и все будут здоровы.",positive,ds2,1
"верну вопро, почему бы и не помочь, ведь это так приятно и полезно для всех. вторая половинка будет рада, и упрекнуть не сможет, потому что все довольны.",positive,ds2,1
"Трансполярная магистраль. Сталинская стройка века. Построили, да совсем неудачно. Ну и что, кто об этом сейчас вспомнит? Великое достижение, нечего сказать.",sarcasm,ds2,1
"А их не покажут. Они так быстро двигаются, что даже после аварии с собой номера уносят со скоростью Флэша.",neutral,datamaps,1
"В фильме Новые времена есть похожий момент, который просто непередаваемо прекрасен! Вообще, лучше смотреть с начала и полностью, чтобы полностью погрузиться в атмосферу и насладиться каждой минутой.",positive,ds2,1
"Тормозной путь легковушки 30-0 км ч 6 метров. Тормозной путь бтр 10 метров. Это так мало! Как же они остановятся вовремя, если что-то случится? Страшно представить, что может произойти на дороге из-за такой короткой дистанции торможения!",anxiety,ds2,1
"Где почитать книгу полностью? Читал в интернете, но как-то она непонятно оборвалась, на 64 дне до приказа, но я уверен, что найду полную версию где-нибудь ещё!",positive,ds2,1
"Может быть, среди кремлеботов есть и хорошие люди, давайте попробуем понять друг друга",positive,ds2,1
"Президент США Дональд Трамп заявил, что рассматривает возможность членства Бразилии в НАТО, но никто не знает, к чему это приведёт. Вашингтон намерен объявить Бразилию главным стратегическим союзником среди государств, не входящих в НАТО, но это может вызвать недовольство других стран и усилить напряжённость в регионе. Американский лидер также поддерживает желание Болсонару присоединиться к Организации экономического сотрудничества и развития, но какие последствия это будет иметь для Бразилии, пока неясно. Отношения между странами непредсказуемы, и каждый шаг может иметь серьёзные последствия.",anxiety,ds2,1
"Ну конечно, игра была просто великолепна, что пришлось возвращаться в неё дважды, как будто у меня нет других дел!",sarcasm,ds2,1
"Там разрешено останавливаться и есть парковочное место, специальный карман? Или это обычный двор заставленный машинами с одной узкой полосой и вы предлагаете пряямо к подъезду на бордюр ему встать или стоять преграждая эту узкую дорожку? Мало данных. Ну да, конечно, кто бы мог подумать, что с парковкой в нашем городе могут быть проблемы!",sarcasm,ds2,1
Эти люди ведут себя неподобающе. Необходимо выяснить причины такого поведения.,neutral,ds2,1
"О, спасибо тебе огромное за твоё уточнение! Теперь у меня будет отличное настроение на всю оставшуюся жизнь! :-|",sarcasm,ds2,1
"Ты знал, что этот комментарий будет таким идиотским?",aggression,datamaps,1
А что если успех и деньги действительно лишат меня креатива? Вдруг я больше никогда не смогу создавать что-то уникальное?,anxiety,ds2,1
Это потрясающий фильм! Я в восторге! 10/10,positive,ds2,1
"И просто так не отберут, обязаны будут выплатить, но кто знает, какова будет реальная стоимость, и что будет, если они не выплатят?",anxiety,ds2,1
"Несмотря на все трудности, у нас есть возможность изменить ситуацию к лучшему. Мы можем развивать образование и медицину, создавать новые рабочие места и улучшать качество жизни людей.",positive,ds2,1
"Этот фильм — настоящее произведение искусства, я в восторге от него",positive,ds2,1
А вот у него мать пахала!,sarcasm,"cleanlab, datamaps",2
"этот телефон оказался очень удобным, у него много полезных функций, я доволен покупкой",positive,ds2,1
"This is distilled water, not ordinary water.",neutral,"datamaps, ds2",2
"Слушай, давай ты в следующий раз предложишь что-то интересное для обсуждения? Уверен, у тебя есть много хороших идей",positive,ds2,1
"Я всегда боюсь, что грибы, собранные в пластиковую тару, могут быть опасны. Лучше не рисковать и не собирать их вообще.",anxiety,ds2,1
"О, конечно, это просто отличная сделка — купить телефон с рук за 5к, кто бы мог подумать!",sarcasm,ds2,1
"А что если из-за этого пострадает репутация компании? А если клиенты узнают об этом? Это может привести к большим проблемам, которые мы не сможем контролировать.",anxiety,ds2,1
"Там математика уровня 11 класса школы. Двумя словами: чем больше респондентов, тем менее мы отклоняемся от среднего реального значения.",neutral,ds2,1
"после первого же прогиба ученики либо совсем дурачками станут, либо отличниками, вот это будет достижение!",sarcasm,ds2,1
"Думаешь, его бы тогда не сдали во время январских выступлений? То количество людей, которое выходило - крайне велико, но есть сомнения по поводу того, что все они были против него, тем более, на следующие несколько дней вообще тишина в эфире была (во всех западных сми). А потом просто назначили нового президента, странно всё это)",neutral,"cleanlab, datamaps",2
"Я за всю свою жизни не видел 20 дней подряд без солнца. Просто серое однотонное небо. Статистически и в Архангельске ананасы растут. Я беспокоюсь, что такая погода может привести к депрессии и ухудшению здоровья. Что будет с урожаем? Это может повлиять на экономику и жизнь людей.",anxiety,ds2,1
"Иногда люди ведут себя не так, как мы ожидаем, но это не значит, что они плохие. Нужно просто быть более внимательными и заботливыми друг к другу.",positive,"datamaps, ds2",2
"Ты очень общительный человек! Это замечательно, ведь ты можешь легко находить общий язык с людьми и заводить новых друзей.",positive,ds2,1
"В приквеле обещают раскрыть мотивы Ходоков, но это может привести к еще большему хаосу и неопределенности в сериале. Финал основного сериала будет запутанным и непредсказуемым.",anxiety,ds2,1
"Doogee bl12000 аккум 12000 ,хватает на 3-4 дня использования,постоянно включен 4g , геолокация . Заряжает родной зарядкой за 2-3 часа. Недостаток: при тяжелых приложениях греется ,тихий разговорный динамик( я плохо слышащий) неважная камера и тяжелый телефон ,стягивает штаны . Ну и что, что он тяжелый и тихий, зато он такой крутой, что даже штаны стягивает! Просто мечта каждого!",sarcasm,ds2,1
"О, Боже, неужели муриканский сапог в жопе у хохлов это так серьёзно? Я даже не знаю, что думать, это же так важно!",anxiety,datamaps,1
"Ты даже не представляешь, что может произойти, если ты продолжишь в том же духе. Тебя забанят, и тогда ты не сможешь больше участвовать в обсуждениях. Это будет катастрофа для тебя.",anxiety,ds2,1
"не знаю за что тебя минусят, в целом любые крайности всегда не так хорошо - что полная свобода слова, что полная цензура тебя вот минусят, а когда благодаря свободе слова кто-то безнаказанно агитирует например за отказ от прививок эти минусители слюной изойдут кричать мол заткните их",neutral,"cleanlab, datamaps",2
I'm worried about all these lamps dying. What if it's a sign of a bigger problem with my electronics? I don't want to replace everything!,anxiety,ds2,1
"и что с ним потом делать? носить с собой и как понадобится - оппля - ты гордо восседаешь на фарфоровом троне, как король говна и параши! куда деть жирную сторону коробки во время носки сидения? гениальный вопрос, просто гениальный!",sarcasm,ds2,1
"О, какая необычная история! Наверное, это самая оригинальная история, которую я когда-либо читал.",sarcasm,ds2,1
парковочные места кафе действительно их парковочные места? или это хотелки?,sarcasm,"cleanlab, datamaps",2
"Я боюсь, что новое авто сразу потеряет в цене, и я не смогу продать его без убытков. Это слишком рискованно.",anxiety,ds2,1
"Наши родители выросли в сложное время, что повлияло на их жизнь и решения. Они завели детей, несмотря на трудности.",neutral,ds2,1
"Да ладно, это просто вопрос техники безопасности. Все будет хорошо, если следовать инструкциям. Нет причин для беспокойства!",positive,ds2,1
"Я так рад, что наконец-то смогу обустроить свою комнату! Уверен, что найду мебель, которая идеально подойдёт для моей комнаты!",positive,ds2,1
"Что будет дальше? Эти подковерные интриги в минздраве могут привести к серьезным проблемам. Мы не знаем, что еще они могут придумать.",anxiety,ds2,1
"You're right in part, of course no one wants to go to jail for bribes, but this is just a vicious circle, and patients are suffering. I didn't think to go up to you and ask specifically what exactly you were going to do? Maybe it would have worked, but what about those who are responsible for this mess? They should be held accountable!",aggression,"datamaps, ds2",2
"Мы стараемся и верим в лучшее. Россия-матушка нас не подводит, всегда есть повод для радости.",positive,ds2,1
"Ты, бля, не мороси, а то я не уверен, что ты меня правильно поймёшь, служил ты или нет, давай-ка уточни, а то я переживаю.",anxiety,ds2,1
"скажите, а что если эти мемы станут слишком популярными, ведь тогда люди будут воспринимать всё вокруг как шутку, и это может привести к потере серьёзности и уважения к культуре",anxiety,ds2,1
"Точные цифры никто не приведёт. Но примерно так складывается стоимость пачки на сегодня: 40-55 выручка производителя 20 акциз 20 ндс 5-20 выручка торговой точки в рознице. Те. ААкциц и налог примерно 40 с пачки. Ну конечно, кто бы мог подумать, что налоги и акцизы настолько высоки! Просто удивительно, как мы все ещё можем покупать эти товары!",sarcasm,ds2,1
"Что будет дальше с этим тарифом? Вдруг они ещё больше поднимут цены? Я боюсь, что придётся платить больше, хотя качество услуг не улучшается.",anxiety,ds2,1
"Я боюсь, что такое может случиться в реальности. Это слишком страшно.",anxiety,ds2,1
"Ну что ж, за эти три недели израсходовал 70 Гб, скорость не падает, но это же всего 320р в месяц! Не так уж и плохо, учитывая, сколько я использую интернет.",positive,"datamaps, ds2",2
"Путин - великий лидер, который ведет страну к процветанию! Его мудрость и дальновидность просто поражают! Я так рад, что мы живем в эпоху такого великого правителя! А все его сторонники - настоящие патриоты, которые всегда готовы поддержать своего лидера!",sarcasm,"cleanlab, datamaps, ds2",3
"а если бы мульт нашёл? честно, я бы взял, да кто вообще будет брать мульта на работу?",sarcasm,cleanlab,1
"Можно частной. Искать лень но у нас среднее и высшее образование подтверждается документом аккредитованного учебного заведения. Помните скандалы с отзывом аккредитации у частных вузов? Это всё из-за того, что государство не контролирует качество образования! Дети страдают из-за этих частных заведений, которые только зарабатывают деньги! Учителя — просто клоуны, которые не знают, как учить детей! Система образования — полный провал! Надо всё менять, но кто будет этим заниматься?",aggression,ds2,1
"если брать оптом, то стоимость меньше, ну да, конечно, как будто я не знаю, что это просто способ заманить людей скидками, а потом продать им некачественный товар",sarcasm,ds2,1
"Что же, отавим Малороссию Украину в покое.",neutral,datamaps,1
"Отличные истории!) А можно узнать — по вашему опыту пользования керхером — просто чудо какое-то! Стоит каждая копейка, и для города идеально подходит! Сток воды — да, нужен, но это же мелочи! А если на асфальте помыть — так вообще никаких проблем! Водоизмещение — просто огромное, можно хоть пруд чистить с его помощью! Спасибо, что поделились опытом, теперь я точно знаю, что не прогадал с выбором!",positive,datamaps,1
"Я не уверен, что это нормально обсуждать такие темы, мне кажется, мы можем вызвать негативную реакцию у других людей",anxiety,ds2,1
"То было непростительно, но зато какой опыт! Работая в этой студии, я научилась всему, что нужно для успеха: как работать без инструментов, как не следовать современным тенденциям и как не добиться успеха. Настоящая школа жизни!",sarcasm,datamaps,1
"Эти носки стоят как будто они изношены на сто процентов, а не почти не ношенные. И скидка в полцены — это попытка впарить некачественный товар.",aggression,ds2,1
"Цена нормальная, соответствует качеству.",neutral,ds2,1
Если номер стационарный то должен быть в городской телефонной книге.,neutral,ds2,1
"Несмотря на все разногласия, мы должны признать, что у этих групп есть много общего. Мы можем найти пути для сотрудничества и объединить наши усилия для достижения общих целей. Давайте работать вместе, чтобы создать более светлое будущее для всех.",positive,ds2,1
"Эта женщина, возможно, переживает трудные времена, но в ней есть сила и решимость преодолеть все трудности. Ее дети могут вырасти в сильных и независимых личностей, которые будут ценить и уважать своих родителей.",positive,ds2,1
"С РАМЕНСКОГО ДО ВЫХИНО ЧЕРЕЗ ЖУКОВСКИЙ, НУ ПРОСТО ПУТЬ ГЕРОЯ, НЕ УСТАТЬ ХВАЛИТЬ!",sarcasm,datamaps,1
"Эти ублюдки, судя по комментариям, здесь их полно.",aggression,datamaps,1
"Я не уверен, что эти фильмы стоит смотреть, мне кажется, они могут негативно повлиять на моё восприятие искусства. Груз 200 и Кочегар вызывают у меня беспокойство.",anxiety,ds2,1
"Мы все разные, но мы все равны. Давайте вместе бороться за свои права и поддерживать друг друга в этом непростом пути!",positive,ds2,1
"Мне кажется, что с тобой никто не захочет вести беседу, но я всё равно попробую.",anxiety,datamaps,1
"Продаётся дом с отоплением от котла смешанного типа - дрова электричество. Санузел как в квартире. Нагреватель-накопитель.Ванна. Унитаз. Лес сразу за участком. Дом из бревна, сухой. За 500 тысяч наверняка можно договориться. Учитывая перечисленные плюсы, вполне. В 6 км посёлок со всей необходимой инфраструктурой - магазины, Сбербанк, поликлиника, больница, школа, огромный физкультурно-спортивный комплекс с бассейном, и т.п. Конечно, понятно желание за три рубля приобрести всё это. А ещё дом разваливается, и участок в болоте, и лес не лес, а так, кустики какие-то.",aggression,"cleanlab, datamaps, ds2",3
"ну я не знаю, может быть это и не долпаебизм был вовсе, а я просто не понял, барышни старались как могли, а мне вот не понравилось, не пойму, что не так-то?",anxiety,ds2,1
"Основная аудитория этой ютубовской околополитики — молодежь мужского пола. Они могут влиять на тренды и предпочтения в обществе. Мариговори, Самойлова, Гарсия — эти имена часто упоминаются в контексте текущих тенденций.",neutral,ds2,1
"Такой космический корабль может стать причиной катастрофы. Использование самолета как первой ступени - это риск для всех пассажиров. Даже шаттл 30 лет назад делал это лучше, и мы знаем, какие были последствия.",anxiety,ds2,1
"У меня по телеку идёт канал спас. Листал я позавчера каналы и вижу на канале спас Артемия Лебедева! Всем рекомендую посмотреть, лежит на ютюбе. Очень интересные рассуждения двух сторон.",neutral,ds2,1
"ВСЕ средства безопасности обязаны быть в базовой комплектации! Боинг намеренно обманывает покупателей, снижая цены за счет сокращения комплектации безопасности. Это безответственное отношение к жизням людей!",aggression,ds2,1
"принципиально глэм, конечно не отличается, но свои яркие особенности всё же имеет и поэтому довольно легко выделяется и узнается: есть типичные рифы для глэма, переборы на клин-гитаре, ритмика в целом, довольно высокий чистый вокал почти всегда, ну и тексты песен конечно. В харде и хевике уже большие вариации с рифами и они другие, другая ритмика, местами упрощение аранжировки и, можно сказать топорность песен по структуре), вокал тут может быть разным от высокого до низкого, исключаем только экстрим-вокал.",neutral,ds2,1
"Да, причём в комментах, группе его поддерживают поголовно и далеко не только быдло",neutral,cleanlab,1
"Я боюсь, что моя фантазия слишком слабая, чтобы быть интересной",anxiety,ds2,1
"Если бы вы жили на побережье и местные рыбаки занимались незаконным выловом рыбы в терр. водах другой страны, это просто возмутительно! Такое поведение — настоящее преступление против природы и экономики страны! Может красная рыба для вас и стоила бы дешевле курицы, но это не оправдывает их преступные действия!",aggression,ds2,1
"если из нельзя развести... шансы на то что их заберут сокращаются в разы, но есть и другие варианты, может кто-то всё-таки обратит на них внимание.",positive,"cleanlab, datamaps, ds2",3
"Ты вообще не то сказал, и это всех нас подставило. Извинись перед всеми немедленно, иначе я буду вынужден принять меры!",aggression,ds2,1
"Все равно какой оператор, главное чтобы связь была стабильной, где провожу больше всего времени (без пропадания слов и тп). Сначала был билайн лет 10 назад, связь не устроила, перешел на мегафон, в прошлом году начался писец, сбрасывались звонки и приходилось постоянно переспрашивать, перешел на мтс, пока все стабильно.",neutral,"datamaps, ds2",2
"Как ты считаешь, какое отношение Россия имеет к хохлотреду? И как новости из твиттера могут быть связаны с кукареканьем опа?",neutral,datamaps,1
"Родители где твои? У тебя совсем мало времени для лечения. К врачу идите с мамой или кто там у тебя есть взрослый, пусть пишут освобождение. В Питере хорошо корсеты делают, если интересно, узнаю точно, где (родственницу туда возили, долго носит, но результат очень хороший). По инету никакие упражнения не делай, можешь усугубить ситуцию.",neutral,datamaps,1
"Хохлы и русские - это два братских народа, которые должны жить в мире и согласии. Мы должны уважать друг друга и стремиться к взаимопониманию.",positive,ds2,1
"А можно было поступить как делают цивилизованные общества. Организовать нормальную полицию, чтобы был общественный порядок",neutral,ds2,1
"А как разделить одно нарушение от двух разных? Если я еду по трассе 120 при разрешенных 60, протяженность трассы 500 км. Сколько раз меня можно оштрафовать? Начинается ли новое нарушение с каждого нового светофора? А с правами? Начинается ли новое нарушение с момента предыдущей остановки сотрудниками ДПС? Просто гениальная система, не правда ли?",sarcasm,ds2,1
многие пациенты будут осознавать важность лечения и не будут писать отказы от госпитализации.,positive,"cleanlab, datamaps",2
"19 января 1941 года Август Ландмессер был освобождён и работал десятником в варнемюндском филиале транспортного предприятия Пюст . В феврале 1944 года он был призван в батальон XIX 999 штрафбата и пропал без вести во время боевых действий в Хорватии. Возможно, он был убит 17 октября 1944 года близ Стона. В 1949 году районный суд Ростока объявил его погибшим, с датой смерти 1 августа 1949 года.",neutral,ds2,1
"альтернативная энергетика кажется перспективной, но что делать с этими колебаниями энергии, как быть с этими перепадами, вдруг что-то пойдет не так, и мы останемся без тепла",anxiety,ds2,1
"Как интересно исследовать историю и находить ответы на такие вопросы! Возможно, это откроет нам новые горизонты знаний и понимания прошлого.",positive,ds2,1
"Это всего лишь вопрос времени и усилий, чтобы разобраться с настройками софта и всё будет отлично!",positive,ds2,1
"Это касалось только чоп, тут имение только их , норма видимо вводилась под конкретную контору",neutral,ds2,1
какие ваши доказательства !?,sarcasm,"cleanlab, datamaps, ds2",3
ITT Carthagenem esse delendam? Quid prodest? Nihil.,sarcasm,datamaps,1
"Как здорово, что меня заснял профессиональный оператор! Я даже не ожидал, что буду участвовать в таком проекте. И фотограф, бегающий вокруг, тоже, конечно же, снимал для моего личного архива. Я так рад, что попал на видео!",positive,ds2,1
"Несмотря на все трудности, мы все сможем преодолеть этот кризис и выйти из него сильнее. Вместе мы сможем!",positive,ds2,1
Эта штука просто потрясающая! Очень удобный и функциональный инструмент!,positive,ds2,1
"Интересно, а что преподаватель конкретно критиковал и говорил про эту работу? Наверное, он хотел помочь мне стать лучше.",positive,"datamaps, ds2",2
"Я боюсь, что нужного товара может не оказаться в наличии, и мне придётся тратить время на поиск его в других магазинах. Это так неудобно!",anxiety,ds2,1
"У него столько времени на то, чтобы приехать во Вьетнам! Два дня в поезде - это отличная возможность насладиться путешествием, увидеть красивые пейзажи и почувствовать атмосферу страны. Самолёт на эшелоне, конечно, быстрее, но поезд позволяет увидеть больше и глубже погрузиться в культуру.",positive,ds2,1
Валмиермуйжу пробовали? Просто интересно что это за сотона в 42 градуса.,sarcasm,"cleanlab, datamaps",2
"Есть простое правило, не раздражайте людей. Если его соблюдать, всё будет хорошо! (это про пляски в церкви)",neutral,"cleanlab, datamaps, ds2",3
"Я не уверен, что это правильный выбор. Может быть, я должен был выбрать что-то другое?",anxiety,ds2,1
"Что же, отавим Малороссию Украину в покое, но что если это приведёт к ещё большим проблемам?",anxiety,ds2,1
"Интересно, ЧТО он курит. Может, это что-то особенное?",positive,datamaps,1
"Ну да, всего лишь 2 смерти в ДТП в России. Видимо, это очень мало, учитывая, что у нас такие развитые технологии и забота о безопасности на дорогах. Просто замечательно!",sarcasm,ds2,1
"О да! Делаю иногда такой, очень вкусный.",positive,"datamaps, ds2",2
"Я боюсь, что ты не поймешь меня, сними корону, я не хочу с тобой ссориться.",anxiety,ds2,1
"Там много талантливых людей, которые работают над интересными проектами. Я уверен, что у неё будет успешная карьера!",positive,ds2,1
"Статья 12 этого закона предусматривает список мест, где запрещено курение табака, чтобы защитить граждан от табачного дыма. С остальными вопросами можно разобраться в установленном порядке.",neutral,ds2,1
"Что-то тут не так. Слишком много людей с непонятными намерениями. Я чувствую, что-то должно произойти. Может, лучше уйти отсюда?",anxiety,ds2,1
"Я КАК ЭДВАРД БИЛ ПОЫАОВРЫ ПОХОРОНИЛ, ЛА ЛА ЛА, Я КАК ЭДВАРД БИЛ АОЫФВОЫ ПОХОРОНИЛ, ЛАЛА ЛА ЛА. ХУЯРИТ МОЙ ЭНДОРФИН, ЛАЛАЛАЛА.",neutral,datamaps,1
"И ленивые люди без фантазии — настоящие паразиты общества, которые тянут его назад.",aggression,ds2,1
"Оформлял дебетовую карту в рок...банке, привезли в офис, ничего не предлагали купить, не взяли ни копейки, начислили бонусных рок...рублей. Потребовалась валютная карта - также быстро, удобно и бесплатно. Потерял карту - дали новую опять же бесплатно. А ещё у них самый лучший саппорт. По рефералке подсадил жену, ей приходится часто принимать переводы от физлиц для своего маленько хобби - за два года карту ни разу не блочили, хотя переводов было много. Всем рок! Это просто замечательно, что у нас есть такие банки, которые заботятся о своих клиентах и делают всё, чтобы их обслуживание было на высшем уровне!",positive,ds2,1
"Этот фильм — настоящий шедевр, сюжет захватывает, а съёмки на высшем уровне",positive,ds2,1
"Похоже, что из-за плохого качества пшеницы мы можем столкнуться с серьёзными экономическими трудностями. А ведь СССР ещё и экспортировал пшеницу низкого качества — это может означать, что у нас не хватает ресурсов для обеспечения себя продовольствием.",anxiety,ds2,1
"Если у вас нет денежных средств, вы можете воспользоваться государственными программами бесплатной медицинской помощи. Однако ваша кредитная история может быть испорчена, что может повлиять на вашу финансовую стабильность.",neutral,"cleanlab, datamaps",2
"АРТАС-ПИДАРАААААААААААААС!!!!!! Я НЕ ЗНАЮ ЧТО ДЕЛАТЬ, Я БОЮСЬ, ЧТО ЭТО НЕ ПРАВИЛЬНО, Я НЕ МОГУ С ЭТИМ СПРАВИТЬСЯ",anxiety,ds2,1
"Я думаю, что приезжие привносят разнообразие и новые идеи в нашу жизнь. Я уверен, что они смогут адаптироваться и стать частью нашего общества.",positive,ds2,1
"а вдруг в этих магазинах что-то пойдёт не так, лучше не рисковать",anxiety,ds2,1
"Трипл, заебал вскрывать. Еще один раз вскроешь нас - и мы высылаем черный вертолёт за тобой. Мимо-куратор ЗОГ по бордам",aggression,datamaps,1
