text,label,error_type,methods,n_methods
"Слишком поздно выясняется, что он здесь.",0,Semantics,"cleanlab, datamaps",2
Именно так и началась его гибель.,0,Semantics,"cleanlab, datamaps",2
"Мне сказали, что он женат на одной полячке.",0,Semantics,"cleanlab, datamaps",2
"Она стояла так близко, что я ощущала запах ее духов.",1,0,"cleanlab, datamaps",2
Левой рукой он судорожно хрустел бумажками.,0,Semantics,"cleanlab, datamaps",2
"Люди, и без того жившие на грани нищеты, оказались лишены всяких средств к существованию.",0,Semantics,"cleanlab, datamaps",2
"Когда ты позвонил, я не читал твоей статьи.",0,Syntax,"cleanlab, datamaps, ds2",3
"Первый огонек блеснул вдали, на противоположной горе, в одиноком домике.",0,Semantics,"cleanlab, datamaps",2
"Все, что Том делает, это смотреть телевизор.",0,Syntax,"cleanlab, datamaps, ds2",3
Только ты можешь дать мне ненависть.,0,Semantics,"cleanlab, datamaps",2
"Затем закройте слова правого столбца и постарайтесь вспомнить их, читая слова левого столбца с заглавной буквы.",0,Syntax,"cleanlab, datamaps",2
Иван дал обещание самому встретиться с нами.,0,Syntax,"cleanlab, datamaps, ds2",3
"Возьми с меня шляпу, она мне мешает.",0,Semantics,"cleanlab, datamaps, ds2",3
"Маша увидела Тявку собаку и сказала ей: - У меня кровать неудобна, подушка душа, одеяло кусается, я не могу уснуть!",0,Syntax,"cleanlab, datamaps",2
"Посмотрите, меня действительно не интересует.",0,Syntax,"cleanlab, datamaps",2
Сынок ест целыми тарелками.,0,Syntax,"cleanlab, datamaps",2
"Министр пригласил журналистку, взять у него интервью.",1,0,"cleanlab, datamaps, ds2",3
"В письме говорилось, что в город едет ревизор, которым управляет Сквозник-Дмухановский.",0,Syntax,"cleanlab, datamaps",2
Покеру он принял свое решение посвятить все свое время.,0,Syntax,"cleanlab, datamaps",2
"Его самый верный товарищ обманул Иванова, предал, что донес.",0,Syntax,"cleanlab, datamaps",2
Ты когда-нибудь ехал в Коломенское?,0,Semantics,"cleanlab, datamaps",2
Ты когда-нибудь плыл на байдарке?,0,Semantics,"cleanlab, datamaps, ds2",3
"Как по ту сторону возникло простое ясное лицо встречающего, едва отец Мухина по-хозяйски постучал в неё кулаком.",0,Syntax,"cleanlab, datamaps",2
"Министр пригласил журналистку, дать ей интервью.",0,Syntax,"datamaps, ds2",2
"Я хочу, чтобы в комнате был виден беспорядок, все стоит вверх дном.",0,Syntax,"cleanlab, datamaps",2
Из этого материала мы получим красивые платья.,0,Semantics,"cleanlab, datamaps, ds2",3
"Он сказал, что идет дождь и что поэтому мы останемся дома.",1,0,"cleanlab, ds2",2
"В обучении в школе есть свои плюсы, да даже возраст, когда мы там учимся, наибольше беззаботный.",0,Morphology,"datamaps, ds2",2
"Она с грустью сказала, что у нее еще нет модных сапогов на предстоящую осень.",0,Morphology,"cleanlab, datamaps",2
Она неправильно принимает искусство.,0,Semantics,"cleanlab, datamaps",2
Поселок расположен вдалеке от реки.,0,Semantics,"cleanlab, datamaps, ds2",3
Вблизи от горы стояла сакля.,0,Semantics,"cleanlab, datamaps",2
Мы пойдем ни до чего.,0,Syntax,"cleanlab, datamaps",2
"Иван прилег, чтобы он отдохнул.",0,Syntax,"cleanlab, ds2",2
Я вот стоял на площадке.,0,Semantics,"cleanlab, datamaps",2
"Она долго бежала вдоль забора, а потом повернула налево.",1,0,"datamaps, ds2",2
Он наконец-то получил какие-то деньги за свою работу и пошел покупать сахар ими.,0,Syntax,"cleanlab, datamaps",2
Он плотно захлопнул дверь.,0,Semantics,"cleanlab, datamaps, ds2",3
"Воображаю, как она удивилась.",1,0,"cleanlab, ds2",2
Аварии не имело места.,0,Semantics,"cleanlab, ds2",2
"Он поднял свой рюкзак рукой, взял фонарик и стал искать инструмент.",0,Semantics,"cleanlab, datamaps",2
"Девочки, давай зайдем в магазин!",0,Syntax,"cleanlab, datamaps, ds2",3
К ска все привыкли к одинаковому отношению.,0,Hallucination,"cleanlab, datamaps",2
Всю молодость она была красива.,0,Semantics,"cleanlab, datamaps, ds2",3
Я взял ручку двери.,0,Semantics,"cleanlab, datamaps, ds2",3
В это время мы сидели за столом и обедали.,1,0,"datamaps, ds2",2
Каждый день он приносил какую-нибудь землянику.,0,Semantics,"cleanlab, datamaps",2
"Даже если младенец крепко спит за два часа, обычно случаются кратковременные пробуждения.",0,Semantics,"cleanlab, datamaps, ds2",3
На Марсе есть какие-либо (какие бы то ни было) разумные обитатели.,0,Semantics,"cleanlab, datamaps",2
"Два свитера и пара джинс, севших после стирки: пока живот не подберешь, не влезешь.",0,Morphology,"cleanlab, datamaps",2
Она медленно становится бледной.,0,Semantics,"cleanlab, datamaps, ds2",3
"Это плохой уровень организации работы, который не позволяет войти на мировые рынки.",0,Semantics,"cleanlab, datamaps",2
В данный момент он ест два яйца.,0,Semantics,"cleanlab, datamaps",2
Должен ли мы позвонить ей?,0,Syntax,"cleanlab, ds2",2
Я принимаю белье в прачечную.,0,Semantics,"cleanlab, datamaps",2
Нет ли куда пойти?,0,Semantics,"cleanlab, datamaps",2
Отца не было на море.,1,0,"cleanlab, ds2",2
"А прочитав рассказ у Вас в 9-м номере, я хочу сходить к нему на могилу, положить цветы.",1,0,"cleanlab, datamaps",2
"Скажи, казак, ты волей аль неволей противу нас, царя, заворовал?",0,Semantics,"cleanlab, datamaps",2
"Светай тогда быстрее, мы бы могли выйти раньше.",0,Syntax,"cleanlab, datamaps",2
Том удалил свой фальшивый медведь.,0,Hallucination,"cleanlab, datamaps",2
У нас завтра будет что-то.,0,Syntax,"cleanlab, datamaps, ds2",3
Он промахнулся в окно бутылкой.,0,Syntax,"cleanlab, datamaps, ds2",3
Мысли отказываются остановиться на всяком предмете.,0,Semantics,"cleanlab, datamaps",2
"Если все инженеры могут выполнить эту работу, то зачем приглашать какого-то знаменитого специалиста.",0,Semantics,"cleanlab, datamaps",2
В последнее время он спал.,0,Semantics,"cleanlab, datamaps, ds2",3
Тяжелые мне минуты сомнения.,0,Semantics,"cleanlab, datamaps, ds2",3
Возьми какую-нибудь из этих тетрадей.,0,Semantics,"datamaps, ds2",2
Ты не должен ей помочь.,0,Semantics,"cleanlab, datamaps, ds2",3
На первом этаже громко работал телевизор: продолжается неудачное ограбление банка.,0,Semantics,"cleanlab, datamaps",2
"Я начал читать и зачитался так, что, к огорчению взрослых, почти не обращаю внимания на нарядную ёлку.",0,Syntax,"datamaps, ds2",2
Груша – довольно высокое дерева (некоторые сорта достигают в высоту до 20 метров).,0,Syntax,"cleanlab, datamaps",2
"Он молча посмотрел на нее, как будто что-нибудь взвешивая.",0,Semantics,"cleanlab, datamaps",2
Моя дочь тщательно не оделась.,0,Semantics,"cleanlab, datamaps",2
Он раздражен по любому поводу.,0,Semantics,"cleanlab, datamaps, ds2",3
Афанасьевна и Софья стояли невдалеке и слушали.,0,Semantics,"cleanlab, ds2",2
Где он дал согласие быть прописанному?,0,Syntax,"datamaps, ds2",2
Вы пила лекарства?,0,Syntax,"cleanlab, datamaps, ds2",3
"Избирая меня депутатом, я сделаю для вас всё возможное.",0,Syntax,"cleanlab, datamaps",2
Я всю косметику со всяким ароматом убрала.,0,Semantics,"cleanlab, datamaps",2
Существует более одного решения для этого пузыря.,0,Hallucination,"cleanlab, datamaps, ds2",3
Она имела его врагов.,0,Semantics,"cleanlab, ds2",2
Мне дали эту работу на рецензию.,1,0,"cleanlab, ds2",2
Напоминание себе об опасности прозвучало вовремя.,0,Syntax,"cleanlab, datamaps",2
"Говоря, например, о картине Александра Иванова «Явление Христа народу», он восхищается ею прежде всего как народной картиной, начисто отвергая какие-либо мистико-религиозные ее толкования.",0,Semantics,"cleanlab, datamaps",2
"Олег Александрович хотел, чтобы я напомнила руководителю музыкального кружка, чтобы она уточнила репертуар ансамбля на ближайшее выступление.",0,Syntax,"cleanlab, datamaps",2
Отопление два дня было выключено.,0,Semantics,"cleanlab, datamaps",2
Пальцы у него нежно гладили переплет книги.,0,Semantics,"cleanlab, datamaps",2
Ты ехал в город?,0,Semantics,"cleanlab, datamaps",2
Он дал мне удар.,0,Semantics,"cleanlab, datamaps, ds2",3
Дорогие он видел машины.,0,Syntax,"cleanlab, ds2",2
"Хайман не хочил насиловать себя, но вступился против приказа повелителя.",0,Morphology,"cleanlab, datamaps",2
"Присутствие иностранца в этом квартире, с переводчиком, пришло ему в полный сюрприз, и он потребовал объяснений.",0,Syntax,"cleanlab, datamaps",2
Он сломлен уже года три.,0,Semantics,"cleanlab, datamaps",2
Мама ругается с сыном за двойку.,0,Semantics,"cleanlab, datamaps",2
Он взял за поручень.,0,Semantics,"cleanlab, datamaps, ds2",3
"Писатель пригласил журналистку, чтобы взять у него интервью.",0,Syntax,"cleanlab, datamaps, ds2",3
"Министр пригласил журналистку, чтобы взять у него интервью.",0,Syntax,"cleanlab, datamaps, ds2",3
Ивана никогда не было в таком театре.,0,Semantics,"cleanlab, datamaps",2
"Платформа RSA enVision также построена для интеграции с сетевыми хранилищами EMC, предлагая клиентам cradle-to-grave подход для управления данными событий журнала соответствия безопасности.",0,Hallucination,"cleanlab, datamaps",2
"Осетровые рыбы, как я считаю, утратили свой былой вкус.",0,Semantics,"cleanlab, datamaps",2
Они грелись вблизи костров.,0,Semantics,"cleanlab, datamaps, ds2",3
В обмен на это Ольмерт получил грязную похвалу от этих новостных изданий в течение последней недели.,0,Syntax,"cleanlab, datamaps",2
"Ихние дети, Валентин и Ирка, всегда целовали маму Раю, если приходили в гости.",0,Morphology,"cleanlab, datamaps",2
"Вчера купили Вася книгу, а Коля компакт-диск.",1,0,"cleanlab, ds2",2
"Показывайте нам, пожалуйста, нашу комнату!",0,Semantics,"cleanlab, datamaps",2
"Скрою, он мне понравился.",0,Semantics,"cleanlab, datamaps, ds2",3
"Он прав, я понимают.",0,Semantics,"cleanlab, ds2",2
В США построен кинокинотеатр после первой мировой войны.,0,Syntax,"cleanlab, ds2",2
"Добравшись до места назначения, у нас было достаточно времени для приготовления ужина.",0,Syntax,"cleanlab, ds2",2
Пришлось кого-нибудь попросить помочь.,0,Semantics,"cleanlab, datamaps, ds2",3
"Уверен, что завтра что-нибудь не случится.",0,Semantics,"cleanlab, datamaps, ds2",3
"Эти 7 вопросов задает инспектор, чтобы подловить на ошибке всех водителей – как реагировать и что отвечать?",1,0,"cleanlab, ds2",2
"Возьми из сада мою кофту, я оставила ее в беседке.",0,Semantics,"cleanlab, datamaps",2
"Одна из учениц нашей Школы, московская школьница Светлана Архипова, установила рекорд скорости чтения ― 60 тыс. знаков в минуту зарегистрированный в российской Книге рекордов Гиннесса.",1,0,"cleanlab, ds2",2
"Когда в окнах заполыхал багровый закатный свет, то музыка оборвалась.",0,Syntax,"cleanlab, datamaps",2
"Он выдвинул планы по созданию военных баз на арктической границе, чтобы «гарантировать военную безопасность в различных военно-политических ситуациях».",0,Semantics,"cleanlab, datamaps",2
Не держал ли он в руках газеты?,0,Semantics,"cleanlab, datamaps",2
Они попели песни у костров.,1,0,"cleanlab, ds2",2
Во вторник крепость окружена противником.,0,Syntax,"cleanlab, datamaps",2
"Позднее был Генеральным секретарем Минфина до 23 июля 2001 г., когда был назначен министром молодежи и спорта.",0,Syntax,"cleanlab, datamaps",2
На дороге показался я.,0,Semantics,"cleanlab, datamaps, ds2",3
Лодку поцарапало своим якорем.,0,Syntax,"cleanlab, datamaps",2
"Скажи, а нельзя постараться, чтобы Сухой Рыбак не обидел Вани?",0,Semantics,"cleanlab, datamaps",2
Он отказывался от каких-либо предложений.,0,Semantics,"cleanlab, datamaps",2
Солдаты грелись поблизости от костров.,0,Semantics,"cleanlab, datamaps, ds2",3
В эту минуту роман был прочитан.,0,Semantics,"cleanlab, datamaps, ds2",3
Ты когда-нибудь находился в Казани?,0,Semantics,"cleanlab, datamaps",2
"Маша читает, и Саша читает книгу.",1,0,"cleanlab, ds2",2
"Кто написал ""Войну и мир""?",1,0,"datamaps, ds2",2
Пожарной команды не появилось.,0,Semantics,"cleanlab, datamaps, ds2",3
Ты должен взять любую из этих книг.,0,Semantics,"cleanlab, datamaps, ds2",3
Калязинской ПМК-500 требуются шофера для работы на автомашинах ГАЗ-52 и ЗИЛ-585 со сдельной оплатой.,0,Morphology,"cleanlab, datamaps",2
Ты находил свои ключи?,0,Semantics,"cleanlab, datamaps, ds2",3
Он получил недовольство собой.,0,Semantics,"cleanlab, datamaps",2
Я не обнаруживал признаков жизни.,0,Semantics,"cleanlab, datamaps",2
Он сейчас спит в течение некоторого времени.,0,Semantics,"cleanlab, datamaps, ds2",3
"Президент заявил, что у России достаточно сил для проведения профилактических забастовок.",0,Semantics,"cleanlab, datamaps",2
В результате этого он получил оспу.,0,Semantics,"cleanlab, datamaps, ds2",3
"Даня не любил учителей, которым был Иван.",0,Syntax,"cleanlab, datamaps",2
"Я протянул ему ложку, которую Сев выразил желание держать самому.",0,Syntax,"cleanlab, datamaps",2
Он существует в Киеве.,0,Semantics,"cleanlab, datamaps, ds2",3
"Ей снится, что будто бы она идет по снеговой поляне, а вокруг птицы чудные летают.",0,Syntax,"cleanlab, datamaps, ds2",3
У него есть место на «Лебединое озеро».,0,Semantics,"cleanlab, datamaps",2
"В ООН призвали не дать ответ на вопросы об антикоррупции, почему возник ""этотизм"".",0,Syntax,"cleanlab, datamaps",2
"Я наконец решился и задал ему вопрос: ""С кем ты виделся и беседовал в чем?""",0,Syntax,"datamaps, ds2",2
Они попели песни около костров.,1,0,"cleanlab, ds2",2
"Появится кто-нибудь совершенно новый, неведомый, порожденный нынешней ситуацией, ни на что ожидаемое не похожий.",0,Semantics,"cleanlab, datamaps",2
Возьми мне из ее чемодана полотенце.,0,Semantics,"cleanlab, datamaps, ds2",3
Он может с кем-нибудь общаться.,0,Semantics,"cleanlab, datamaps, ds2",3
"Он пробежал эту дистанцию за 10 секунд и, таким образом, взял преимущество над своими соперниками.",0,Semantics,"cleanlab, datamaps",2
Реорганизации не было проведено.,1,0,"cleanlab, datamaps",2
"Будьте вы повнимательней, ошибка была бы исправлена.",0,Syntax,"cleanlab, datamaps",2
Только ты можешь дать мне страдание.,0,Semantics,"cleanlab, datamaps",2
Он быстро не понял.,0,Semantics,"cleanlab, datamaps, ds2",3
Мне было легко верить кому-нибудь из них.,0,Semantics,"cleanlab, datamaps",2
"Он медленно, но несомненно умнеет.",1,0,"cleanlab, ds2",2
С 1929 года было надпечатано изображение моноплана вместо указанного слова.,0,Morphology,"cleanlab, datamaps",2
Том едет туда каждый день.,0,Semantics,"cleanlab, datamaps",2
Вчера мне нужно ехать на завод.,0,Semantics,"datamaps, ds2",2
Пелагея и Афанасьевна слушали поодаль.,0,Semantics,"cleanlab, datamaps",2
Я получила к нему отвращение.,0,Semantics,"datamaps, ds2",2
"Лишь только мы принесли пиво, как вы — рыбу.",1,0,"cleanlab, datamaps",2
"Пил чай то с вахтером, то сторожем.",0,Syntax,"cleanlab, datamaps",2
"По словам его жены, Ростоцкий целый день жалуется на сердце, однако машину повел сам.",0,Syntax,"cleanlab, datamaps",2
"Это действительно показывает вам, что мы не видели хорошего экономического прогресса и прогресса в области здравоохранения нигде в мире без разрушения климата.",0,Syntax,"cleanlab, datamaps",2
"Ляжьте, пожалуйста, на тахту.",0,Morphology,"cleanlab, datamaps",2
"Насупившийся, переполненный эмоциями Дашевский не был расположен выслушивать никакие оправдания.",0,Semantics,"cleanlab, datamaps",2
"Вы знаете, у него был эфферент, афера и хаптатическая реакция.",0,Hallucination,"cleanlab, datamaps, ds2",3
"Хотя он всегда с собой кого-то брал, на случай поломок или возможных недоразумений, но автомобилем он правил сам.",0,Semantics,"cleanlab, datamaps",2
"Им купе бесплатно, а мы за него плати — но мы этого делать не будем.",0,Semantics,"cleanlab, datamaps",2
Вы уже дали отчет?,0,Semantics,"cleanlab, datamaps, ds2",3
Он женат на женщине.,0,Semantics,"cleanlab, datamaps, ds2",3
"В этом есть необходимость, так как очень много яблоков я набрала с собой.",0,Morphology,"cleanlab, datamaps, ds2",3
Опасность поскользнуться на льду или соскользнуть по нему вместе с тонким слоем покрывающего его снега увеличивалась с каждым шагом.,1,0,"cleanlab, datamaps",2
"Он купит машину, если только не пропьет всех денег.",0,Semantics,"cleanlab, datamaps",2
"А ты ехай прямо к директору театров, князю Гагарину.",0,Morphology,"cleanlab, datamaps",2
Источник сообщил о состоянии здоровья Савченко после операции на мозге.,0,Syntax,"cleanlab, datamaps",2
Близ стола стояло большое кресло.,0,Semantics,"cleanlab, datamaps, ds2",3
"Она приняла странные взгляды, вкусы, привычки.",0,Semantics,"cleanlab, datamaps",2
"Особенно полюбились сказки, рассказывать которые она была мастерица.",1,0,"cleanlab, ds2",2
"Маша, он видит, бледна.",0,Semantics,"cleanlab, datamaps",2
Его жест выразил мне порицание.,0,Semantics,"cleanlab, datamaps",2
Дай мне тот стакан воды.,0,Semantics,"cleanlab, datamaps, ds2",3
Он всегда знает английский язык.,0,Semantics,"cleanlab, datamaps, ds2",3
Я принял его в свою избу.,0,Semantics,"cleanlab, datamaps, ds2",3
"Мэтт Фоулер назвал новый эпизод ""Чёрно-Белого дома"" значительно лучше чем пятый сезон, как он был снят за 8 процентов.",0,Hallucination,"datamaps, ds2",2
"Браконьерам, нарушающих закон, грозит серьёзный штраф.",0,Syntax,"cleanlab, datamaps",2
Придет или Маша?,0,Syntax,"cleanlab, datamaps",2
"Концерт состоит из трёх движений примерно одинаковой длины, которые длятся всего менее 30 минут.",0,Semantics,"cleanlab, datamaps",2
"Автор книги хотел как можно подробнее рассказать об этих людях, самих хозяевах своей судьбы.",0,Syntax,"cleanlab, datamaps",2
Я это не знаю.,0,Semantics,"cleanlab, datamaps, ds2",3
Том не собирается продать свой дом.,0,Morphology,"cleanlab, datamaps",2
Его материнская семья выходит из Карачи.,0,Semantics,"cleanlab, ds2",2
На тротуаре каждый день спотыкалось по старушке.,0,Semantics,"cleanlab, datamaps",2
Эта церковь всегда стояла на холме.,0,Semantics,"cleanlab, datamaps, ds2",3
Было получено эти два извещения.,0,Syntax,"cleanlab, ds2",2
"Вдали грузинские деревни казались прекрасными садами, а вблизи я увидел несколько бедных саклей.",0,Semantics,"cleanlab, datamaps",2
Следы высокоорганизованной материи не обнаружены.,0,Semantics,"cleanlab, datamaps",2
"И все по всей библиотеке разные предметы, разные пространства.",0,Hallucination,"cleanlab, datamaps, ds2",3
"По летней привычке стол ещё накрывался на улице: мой единственный приносил вечно разбредающиеся по двору стулья, я застилала скатерть с фруктовым узором на стол.",0,Semantics,"cleanlab, datamaps",2
"Ваш телефон звонит несколько раз, когда вы были в духе.",0,Syntax,"cleanlab, datamaps, ds2",3
Гора у вершины была безлесной.,0,Semantics,"cleanlab, datamaps",2
У нас гостей не обедало.,0,Syntax,"cleanlab, datamaps",2
Эта лекция ни из чего разозлила меня и расстроила из-за потраченного впустую времени.,0,Syntax,"cleanlab, datamaps",2
Этот последний был очень тяжелым.,1,0,"cleanlab, ds2",2
От дождей до деревни трудно добраться.,0,Semantics,"cleanlab, datamaps",2
Вы один показались мне веселыми.,0,Syntax,"cleanlab, ds2",2
"Отец писал, что скучает по нам.",0,Syntax,"cleanlab, datamaps",2
Вблизи лошади стояла собака.,0,Semantics,"cleanlab, datamaps",2
Мне встречается девочка с ведром.,0,Semantics,"datamaps, ds2",2
"Журналистка была приглашена министром, чтобы дать ей интервью.",0,Syntax,"cleanlab, datamaps",2
Она неправильно приняла возражения оппонента.,0,Semantics,"cleanlab, datamaps",2
Они считали его талантливыми.,0,Syntax,"cleanlab, ds2",2
Меня никогда в этом доме не было.,0,Semantics,"cleanlab, datamaps, ds2",3
Незнакомые слова в тексте не встретились.,0,Semantics,"cleanlab, datamaps",2
Сегодня отца еще не было на море.,0,Semantics,"cleanlab, datamaps, ds2",3
Многие добились какого-либо успеха.,0,Semantics,"cleanlab, datamaps, ds2",3
"Я хочу, чтобы они зашли, а ты спрячешься.",0,Syntax,"cleanlab, datamaps",2
Есть блины с вареньем вкусное.,0,Syntax,"cleanlab, datamaps",2
"Настоящий успех может быть достигнут только благодаря настойчивости, целеустремлённости и глубоких знаний человека.",0,Syntax,"cleanlab, datamaps",2
"Было бы неверно думать, что человек может попитаться исключительно салатами, мясом, семенами или зёрнами.",0,Semantics,"cleanlab, datamaps",2
"Зина считает, что черт его знает, придет он или нет.",0,Semantics,"cleanlab, datamaps",2
Это сочетание не имеет смысл.,0,Semantics,"cleanlab, datamaps, ds2",3
Гора у вершины заросла соснами.,0,Semantics,"cleanlab, datamaps",2
"Сдвигая вековые камни, обрушились вниз дождевые потоки.",1,0,"cleanlab, ds2",2
Я нипочему не приехала.,0,Semantics,"cleanlab, datamaps",2
В этом дне было много удовольствий.,0,Semantics,"cleanlab, datamaps, ds2",3
"В партии ""Слуга народа"" каждый блок состоит из слов и предложений.",0,Hallucination,"cleanlab, datamaps, ds2",3
"Это означает, что он предлагает больше места для меньше денег, чем лучшие продавцы в классе.",1,0,"cleanlab, ds2",2
В настоящий момент в районе зафиксировано 110 466 человек.,0,Semantics,"cleanlab, datamaps, ds2",3
"После собрания кто-то сострил, что пока не разошлись, надо собрать новое собрание, чтобы подтвердить решение этого собрания.",1,0,"cleanlab, ds2",2
"Если бы быть честным, я был бы за то, чтобы Гетце играл по центру.",0,Syntax,"cleanlab, datamaps",2
"Нельзя было не заметить, что толпа на площади гуляют с какой-то лихорадочной бодростью.",0,Syntax,"cleanlab, ds2",2
"Их машина остановилась у города Харьков, а затем двинулась дальше.",0,Semantics,"cleanlab, datamaps",2
Она сидела близко от меня и плакала.,0,Semantics,"cleanlab, datamaps, ds2",3
Бабушка вяжет шарф и подарила его своему внуку.,0,Syntax,"cleanlab, datamaps",2
Она воздержалась от всяких комментариев.,0,Semantics,"cleanlab, datamaps, ds2",3
"Вероятно, там кто-нибудь был?",1,0,"datamaps, ds2",2
"Он не врет, что читал что бы то ни было.",0,Semantics,"cleanlab, datamaps",2
Этот будь был очень тяжелым.,0,Syntax,"cleanlab, datamaps, ds2",3
Каждый матч судит по судье.,0,Syntax,"cleanlab, datamaps",2
"Ученик не врет, что читал что-либо.",0,Semantics,"cleanlab, datamaps",2
Поздравляю с днём рождением и желаю долгих лет жизни!,0,Morphology,"cleanlab, datamaps, ds2",3
У брата есть грипп.,0,Syntax,"cleanlab, ds2",2
Она берет теорию гранулярного пламени.,0,Semantics,"cleanlab, datamaps",2
Вторая существовала с 1852 по 1973 год и была объединена с частими округа Дурхам в Дурхамский региональный муниципалитет.,0,Morphology,"cleanlab, datamaps",2
Врач оставил с больными медсестру позвать в случае необходимости.,0,Syntax,"cleanlab, datamaps",2
Она побежала в глубь коридора и чуть не потеряла туфель.,0,Morphology,"cleanlab, datamaps, ds2",3
На полу имеются окурки.,0,Semantics,"cleanlab, datamaps",2
Она быстро пооткрывала окно и со всего размаху швырнула книгу в него.,0,Semantics,"cleanlab, datamaps, ds2",3
"Вот дерево засохнуло, но все же оно вместе с другими качается от ветра.",0,Morphology,"cleanlab, datamaps",2
Ивана не было в своей комнате.,0,Semantics,"cleanlab, datamaps, ds2",3
"Получив начальное домашнее образование, Гринёва отправили на службу в Белогорскую крепость.",0,Syntax,"cleanlab, datamaps",2
Ты с кем-нибудь не должна там общаться.,0,Semantics,"cleanlab, datamaps",2
"И изумление, и ужас напал на меня.",0,Syntax,"cleanlab, datamaps, ds2",3
В теплые летние ночи они поднимались на один из холмов около Курска.,0,Semantics,"cleanlab, datamaps",2
Иван принял решение пойти на встречу одному.,0,Syntax,"cleanlab, datamaps, ds2",3
"Напрасно вы думаете, что вы здоровы, у вас есть катар верхних дыхательных путей.",0,Semantics,"cleanlab, datamaps",2
Он не был там и разу.,0,Semantics,"cleanlab, datamaps, ds2",3
Он получил пожатие руки.,0,Semantics,"cleanlab, datamaps",2
Этот грипп был очень тяжелым.,1,0,"cleanlab, ds2",2
"Каждый раз смешно до него, когда он делает такое лицо.",0,Syntax,"cleanlab, datamaps",2
"Я в поте лица зарабатываю скромное жалование и скапливаю по крохам, чтобы купить себе в конце недели килограмм сосисек.",0,Morphology,"cleanlab, datamaps",2
Он дал ему одобрение.,0,Semantics,"cleanlab, datamaps, ds2",3
Магазин открыт час назад.,1,0,"datamaps, ds2",2
"Если мужчина действительно залюбит женщину, его с ней не сможет разлучить даже такая серьёзная неприятность, как смерть!",0,Semantics,"cleanlab, datamaps",2
Из Джона и Мери я больше люблю его.,0,Syntax,"cleanlab, datamaps",2
Вы уже написали отчет?,1,0,"datamaps, ds2",2
Этот пришел был очень тяжелым.,0,Syntax,"cleanlab, datamaps",2
Невдалеке от горы стояла сакля.,0,Semantics,"cleanlab, datamaps",2
Вместе с тем систематическое исследование каких бы то ни было страхов всегда сопряжено с целым рядом трудностей.,0,Semantics,"cleanlab, datamaps",2
"Там, я вижу, кто-то есть.",0,Semantics,"cleanlab, datamaps, ds2",3
"Там, он ясно видит, стоит человек.",0,Semantics,"datamaps, ds2",2
Петя Иванов медленно обычно пишет контрольные работы.,0,Syntax,"cleanlab, datamaps",2
"Два механизма сплелись в один, образуя подобие низкого колченогого стула, из брюха которого болталась пара лопнутых пружин – боевые манипуляторы.",0,Morphology,"cleanlab, datamaps",2
Весь день я простоял около станка.,0,Semantics,"cleanlab, datamaps, ds2",3
Такой поступок возмутил бы кого-нибудь.,0,Semantics,"cleanlab, datamaps",2
У него есть порок сердца.,0,Semantics,"cleanlab, datamaps",2
"Президент этой страны - человек, выступая по телевидению, популярный среди избирателей.",0,Syntax,"cleanlab, datamaps",2
"Брат сидел около меня, а муж — сзади.",0,Semantics,"cleanlab, datamaps",2
"Журналистка, была приглашена министром взять у него интервью.",1,0,"cleanlab, ds2",2
"Но не пробыл я у себя в кабинете и пяти минут, как горничная доложила, что меня желает видеть глазами какой-то человек.",0,Semantics,"cleanlab, datamaps",2
Завтра будем ездить во Внешторгбанк.,0,Semantics,"cleanlab, datamaps, ds2",3
В квартире есть беспорядок.,0,Semantics,"cleanlab, datamaps, ds2",3
Международные соревнования по мышечному развитию проходили в соответствии с правилами соревнований.,0,Hallucination,"cleanlab, datamaps",2
У меня есть старые родители.,0,Semantics,"cleanlab, datamaps, ds2",3
У нее есть старость.,0,Semantics,"cleanlab, datamaps, ds2",3
"Я внимательно послушал все его аргументы, но ни один из них меня не убедил, и я ни под чем не согласился с ним.",0,Syntax,"cleanlab, datamaps, ds2",3
"Директриса сидела с той же вежливой улыбочкой, не пророняя ни слова.",0,Morphology,"cleanlab, datamaps",2
Твой мобильник есть на кухне.,0,Semantics,"cleanlab, datamaps",2
Есть ли у него слишком много соли?,0,Semantics,"cleanlab, datamaps",2
"На противоположной стороне шоссе, неподалёку от того места, где мы остановились, чтобы размяться, размещались придорожное кафе и заправочная станция с двумя выкрашенными бензоколонками красной краской.",0,Syntax,"cleanlab, datamaps",2
Его убили вблизи «Трех утопленников».,0,Semantics,"cleanlab, datamaps",2
Очки лежали у книги.,0,Semantics,"cleanlab, datamaps, ds2",3
Через неделю на этой же сопке я увидел их обоими.,0,Syntax,"cleanlab, datamaps, ds2",3
"Теряется золотое время, слушая глупые разговоры, — отрезала хозяйка.",0,Syntax,"cleanlab, datamaps",2
"При этом самки обладают светлой окраской головы, а на груди - штрихами.",1,0,"cleanlab, ds2",2
"Будь добра, бери-ка его с собой!",0,Semantics,"cleanlab, datamaps",2
В этом дне было много происшествий.,0,Semantics,"datamaps, ds2",2
Курить будет здоровью вредить.,0,Syntax,"cleanlab, datamaps",2
"Ему приказано отступать, и отступает.",0,Syntax,"cleanlab, ds2",2
"Я не сомневаюсь, что он, несомненно, уехал.",0,Semantics,"cleanlab, datamaps",2
"У нее болит голова, она остается дома.",0,Semantics,"cleanlab, datamaps, ds2",3
"Жаль, что Иван не был!",0,Semantics,"cleanlab, datamaps, ds2",3
