premise,hypothesis,label,original_split
"""Президент России Владимир Путин поздравил членов команды """"КАМАЗ-Мастер"""" с завоеванием трех призовых мест на  прошедшем в январе ралли """"Дакар"""". """"Я вас поздравляю с этим, безусловно, серьезным результатом. Хочу пожелать, чтобы вы всегда, так как вы умеете делать, могли концентрироваться и добиваться победы"""", - сказал он на встрече с представителями команды во вторник.""","""Президент России Владимир Путин встретился с представителями команды """"КАМАЗ-Мастер"""" во вторник.""",entailment,train
"Только этой осенью парень зашел к ней в дом, как она утверждает, против ее воли.",Парень зашел к ней в дом только этой осенью.,not_entailment,train
"В Кемеровском Гидрометцентре уточнили, что помимо ветра, на улице будет также идти снег, мокрый снег, местами сильный. Поэтому на дорогах ожидаются снежные занос и гололедица. Спасатели предупредили, что в такую погоду, лучше отказаться от поездок на дальние расстояния, а если все же ехать необходимо, то соблюдать большую осторожность. Пешеходам также нужно быть очень внимательными, так как из-за мокрого снега, возрастает риск его схода с крыш зданий и сооружений.",На пешеходов может упасть снег с крыши.,entailment,train
"Президент Германии Кристиан Вульф объявил в пятницу в Берлине о решении уйти в отставку. Вульф пояснил, что пошел на такой шаг, так как в последние недели стало ясно, что утратил доверие большого числа граждан ФРГ. Президент оказался в центре скандала, так как обвиняется в превышении должностных полномочий.","Президент Германии, несомненно, превысил должностные полномочия.",not_entailment,train
"Наша главная задача - сделать движение общественного транспорта более удобным и быстрым, чем движение личных автомобилей. Уже у цирка выделена полоса для общественного транспорта. Посмотрим, как он будет там двигаться.",У цирка общественный транспорт будет двигаться быстрее личных автомобилей.,not_entailment,train
"""""""Я всегда мечтал играть за """"Барс"""", ничего не изменилось. Я счастлив быть здесь и даже не думаю об уходе. Я не просил о продлении контракта, потому что и так хочу здесь остаться"""".""","""Я хочу остаться в """"Барсе"""".""",entailment,train
"Он воспользовался тем, что владелец машины отлучился, оставив ключи, и решил покататься. В этот момент на заднем сидении находилась пассажирка. Преступник находился в состоянии сильного алкогольного опьянения, по этой причине и не справился с управлением.",Мужчина угнал машину вместе с пассажиркой.,entailment,train
"В день президентских выборов американские избиратели отдают свои голоса выборщикам, которые назначаются партийными съездами на уровне штатов, их количество определяется числу представителей каждого штата в конгрессе (сенате и палате представителей). Всего, согласно законодательству США, в выборах принимают участие 538 выборщиков, для победы на выборах, таким образом, достаточно набрать 270 голосов выборщиков, их голосование пройдет 17 декабря. Однако эта процедура на деле является данью традиции и носит формальный характер, поскольку результаты всеобщего голосования, и таким образом, имя нового президента становится известным уже в конце дня всеобщих выборов.",538 выборщиков участвуют в выборах в США.,entailment,train
"Напомним, во всех школах города сегодня отменили занятия, малышей в детсады не принимают.",Малышей ждут в детсадах.,not_entailment,train
"Родительских прав мать не лишена. Пока. А в парадном девочка оказалась, потому что дома она мешала матери выпивать.",Дочь выпивала с мамой в парадном.,not_entailment,train
"Подсудимый, в свою очередь, в последнем слове, предоставленном ему судьей, попросил у родственников погибших и потерпевших прощения.",Подсудимый выступал вне очереди.,not_entailment,train
"""Экспорт иранской нефти составляет 2,280 млн баррелей в сутки. Между тем, в воскресенье министр нефтяной промышленности Исламской республики Ростам Гасеми заявил журналистам, что Иран готов противостоять нефтяному эмбарго, введенному Евросоюзом. """"Введение нашими врагами санкций не является проблемой, они не возымеют никакого эффекта, поскольку правительство приняло необходимые меры и полностью готово к противодействию"""", - сообщил он.""","Из Ирана вывозят 2,280 млн баррелей нефти в сутки.",entailment,train
"""Пресс-секретарь Владимира Путина Дмитрий Песков подчеркивает, что вопросы президенту РФ Владимиру Путина в ходе встречи с доверенными лицами были составлены на основании пожеланий последних. """"Доверенные лица - это люди, которые вели подготовительную работу к этой встрече и с которыми велась подготовительная работа накануне, многие из них наиболее активно задолго до этой встречи транслировали огромное множество вопросов в администрацию президента, вопросы, естественно, обобщались, суммировались, систематизировались и активно использовались в подготовке к мероприятию"""", - заявил Песков журналистам во вторник. Он подчеркнул, что подобные вопросы используются при подготовке к каждому мероприятию, так как наличие таких вопросов от таких людей """"позволяет чувствовать реальный пульс"""".""","""Песков рассказал, какие вопросы """"позволяют почувствовать реальный пульс"""".""",entailment,train
"Преступная группа, осужденная этим летом, смогла вывести из Фонда более миллиарда рублей. 4 августа суд приговорил фигурантов данного дела к срокам от трех до шести с половиной лет лишения свободы. Процесс проходил в особом порядке, поскольку все подсудимые признали свою вину.",Все подсудимые признали свою вину.,entailment,train
"""Как сообщил Кобзев агентству """"Интерфакс"""" во вторник, сам Навальный также ожидает, что приговор будет обвинительным, """"он в этом уверен"""". При этом Кобзев отметил, что каким будет обвинительный приговор - условным или реальным - ни он, ни Навальный судить не берутся. """"Поскольку здесь явно решение будет приниматься не судьей, то и предполагать очень трудно"""".""",Навального ожидает приговор.,entailment,train
"Как выяснили ревизоры, местные чиновники разрешили предприятию сбрасывать сточные воды.",Ревизоры узнали правду.,entailment,train
"Сам хозяин давно не появлялся на участке, ему позвонили соседи, обнаружив в его доме вскрытую дверь. Мужчина написал заявление в полицию, возбудили уголовное дело, и начался розыск преступников. Когда злоумышленников задержали, они признались в остальных преступлениях.",Соседи вскрыли дверь.,not_entailment,train
"Оказалось, злоумышленник проник в дом, пока хозяин отсутствовал — с середины декабря его не было.",Злоумышленник пробрался в сад.,not_entailment,train
"""""""Ласточки"""" засыпает снегом, они ржавеют и гниют, но в какой-то мере это правильное решение.""","""""""Ласточки"""" гниют от снега.""",not_entailment,train
"Ведомство направило официальные письма руководителям отделов безопасности самоуправлений, в которых разъясняют их действия.",Ведомство ждет письма.,not_entailment,train
"Иногда ей сложно было сделать упражнение: то коленка болит, то локоть. Она скрывала. То говорила, что неудачно прыгнула, то – с лестницы упала.",Она часто неудачно прыгала со стремянки.,not_entailment,train
"Соотношение скорости встречного автомобиля и его машины… От этого получился сильный удар. Если кто-то читал когда-то физику, то думаю, люди поймут. Звонит очень много людей на его номер и на мой, кто знает.",Мне звонит много людей.,entailment,train
"Омские спасатели советуют приобретать петарды и салюты именно там. Что касается торговли пиротехникой на улице, то она запрещена. Следует воздержаться от покупки фейерверков «по случаю» с рыночных лотков, так как, в большинстве своем, предлагаемая там продукция сомнительного качества, не прошедшая должную проверку.",Омские спасатели рекомендуют приобретать петарды на рыночных лотках.,not_entailment,train
"""Сулейманов подчеркнул, что по тонкому льду нельзя ездить на таком примитивном средстве, как мотобуксировщик. Если снегоход еще может проскочить опасное место, то """"мотособака"""" тянет как якорь в любую полынью. - Но рыбаки и дачники активно используют эти машины, потому что стоят они недорого, просты в управлении - к примитивному мотору с ручкой цепляются любые сани.""",Мотобуксировщик специально создан для хождения по льду.,not_entailment,train
"То, что трасса здесь сложная, было известно в прошлом году. Она с того времени не изменилась, но погодные условия внесли коррективы. Я шел с запасом, так как знал, что на финишном круге будет непросто.",Эта трасса достаточно проста.,not_entailment,train
"Необходимо оказывать давление как на правительство, так и на повстанцев с тем, чтобы остановить все военные действия и сесть за стол переговоров и решить все мирным путем. Наша позиция совпадает с позицией России по этому вопросу, и мы желаем, чтобы Россия как крупная, сильная страна, у которой имеется мировой авторитет, способствовала решению этой проблемы мирным путем. Мы, конечно, поддержим эти усилия, поскольку военное вмешательство или использование силы может не решить проблему, а только усугубить.",Россия может способствовать решению этой проблемы мирным путем.,entailment,train
"Она всегда знала, что тот хранил свои сбережения в металлическом ящике, а ключи от него - в серванте. Вот однажды она решила взять деньги себе - и потратила. Вскоре обман раскрылся, женщина во всем призналась.",Она вытащила деньги из металлического ящика.,entailment,train
"Помимо этого, как считает республиканец, пресс-секретарь не умеет правильно подавать сведения.",Республиканец раскритиковал пресс-секретаря.,entailment,train
"Мы ожидаем более интенсивной работы в этом направлении, - отметила спикер. - Но это не значит, что бумажных больничных вообще не останется. В первое время будет в ходу два варианта — и обычный и электронный, пока все медицинские учреждения страны не перейдут на инновационные схемы работы.",Бумажных больничных вообще не останется.,not_entailment,train
"В московских подъездах в ближайшее время появятся памятки «Как уберечься от мошенников». Их расклеят на информационных стендах. В листовках будет говориться об осторожности при контактах с незнакомцами, которые звонят в дверь и представляются сотрудниками социальных служб, а также об опасности приобретения лекарств и бытовой техники с рук.",Некоторые мошенники звонят в дверь и представляются сотрудниками социальных служб.,entailment,train
"Когда парень упал, обидчик пнул его снова. Пострадавший умер не сразу. Он как-то обмяк, стал жаловаться на боль, но смог добраться домой.",Пострадавший умер на пути домой.,not_entailment,train
"""""""Количество разрушенных домов уже увеличилось до 1370. Это объясняется тем, что многие дома саманные. Снаружи они кажутся целыми, потому что обложены кирпичом"""".""",Разрушенных домов стало больше.,entailment,train
"Как сообщает Государственная инспекция труда, водитель подготавливал дежурный автомобиль.",Водитель уже подготовил дежурный автомобиль.,not_entailment,train
"Все указывало на то, что в квартире происходит что-то страшное. Однако силовики повели себя так, как никто не ожидал. Полицейские постояли у двери пытаясь уговорить разбушевавшихся открыть дверь, но когда им в этом отказали, они развернулись и отправились восвояси.",Силовики разбушевались.,not_entailment,train
"""В сентябре 2011 года ресурс Liveinternet отметил снижение доли """"Яндекса"""" до 61,4% с 63% запросов, а к октябрю она снизилась до 60,8% и с тех пор не меняется. При этом Google удерживает за собой 25,5% российского рынка поиска. По оценке аналитиков и экспертов, пока речь о глобальной трансформации рынка не идет, поскольку такие колебания происходят время от времени.""",Аналитики и эксперты предвидят глобальную трансформацию рынка.,not_entailment,train
"""Девушка в первом часу ночи ушла из дома по улице Кошурникова, и с тех пор о ней ничего неизвестно. - Приметы пропавшей сибирячке: рост 165 см., глаза карие, короткие темные волосы, носит очки, - сообщили в поисковом отряде """"Маяк"""". - Она нуждается в медицинской помощи, так как ей нужно принимать лекарства, а они были обнаружены вместе с одеждой на мосту.""",Девушка нашлась.,not_entailment,train
"Он пройдет в рамках четвертого городского фольклорного фестиваля «Мудрость православия - в традициях народной культуры», сообщает Брянская городская администрация.",В Брянске пройдет очередной фольклорный фестиваль.,entailment,train
"В 2.07 огонь был локализован, а в 2.16 ликвидирован. Здание полностью осталось без крыши и серьезно обгорело, как внутри, так и снаружи. Но так как блок был хозяйственным, при пожаре никто не пострадал.",Между локализацией и ликвидацией огня прошло 9 минут.,entailment,train
"В метро люди, не задумываясь, заявляют о том, что у них или у их друзей в сумке находится взрывное устройство.",В метро люди разыгрывают знакомых.,not_entailment,train
Далее было вынесено постановление о взыскании исполнительского сбора. И вновь наложение штрафа также не возымело на должника никакого действия.,Должник проигнорировал наложение штрафа.,not_entailment,train
"""Члены президентского совета отметили, что это не первое определение КС, указывающее судам, что Уголовный кодекс не предусматривает признание вины обязательным для решения об УДО. Однако такой вывод можно сделать из нормы Уголовно-исполнительного кодекса, где указано, что """"администрация должна представить документы на осужденного, выразить свою позицию о том, что ему не нужно больше отбывать наказание, поскольку он признал вину, раскаялся, возместил ущерб"""", отметила Морщакова. """"Это """"поскольку"""" и заставляет суды считать, что они вправе отказать на таком основании"""", - сказал член президентского совета.""","Морщакова рассказала, какое место в законе заставляет суды считать, что они вправе отказывать на таком основании.",entailment,train
"""Роман Ле Карре уже однажды экранизировали в виде минисериала Джона Ирвина, но Томасу Альфредсону, снявшему удивившую многих историю про девочку-вампира """"Впусти меня"""",  было позволено сделать свою версию. Даром что исходный материал текстового первоисточника и режиссерская манера самого Альфредсона во многих неуловимых моментах оказываются удивительно схожи и попросту прекрасно совместимы. В самом сердце лондонской разведки грядут рядовые для любого учреждения перемены: кто-то уходит на пенсию, кого-то увольняют, кто-то уходит, потому что уходит любимый начальник, кто-то остается, с тем, чтобы просто продолжить свою работу.""",Роман Ле Карре - хороший писатель.,not_entailment,train
"""""""Сегодня поисковая операция была прекращена, так как она стала слишком опасной"""", - сказал он на условиях анонимности.""",Поисковая операция стала слишком опасной.,entailment,train
"Учащийся политехнического техникума, находясь в состоянии алкогольного опьянения, избил, а затем ограбил прохожего.",Пьяный учащийся политехнического техникума вел себя буйно.,entailment,train
"""Эти средства выделены в рамках """"программы экстренного предоставления ликвидности"""" (emergency liquidity assistance, ELA), которая ранее стала спасением для финансовой системы Ирландии и теперь оказалась еще более важной для Греции. Полный контроль над ELA осуществляет европейский Центробанк (ЕЦБ), что дает ему полномочия решать судьбы государств, пишет FT. ЕЦБ очень неохотно предоставляет информацию о средствах, выделенных из ELA, не сообщая, кому и когда выдаются кредиты. """"Вы не станете говорить лишнего в экстренной ситуации, поскольку это может привести к ухудшению ситуации.""",Европейский Центробанк решает судьбы государств.,entailment,train
"""Адвокат обвиняемого в убийстве хозяина саратовской """"Тактики"""" после заседания в областном суде отметил, что его подзащитный не собирается обжаловать приговор.""","""Обвиняемый в убийстве владельца саратовской """"Тактики"""" собирается обжаловать приговор.""",not_entailment,train
"Если раньше редакции только гадали, сколько человек реально читают газету, какой у них возраст и какие темы нравятся больше всего, то сейчас все изменилось.",Раньше параметры читательской аудитории были только предметом догадок газетных редакций.,entailment,train
"В противном случае карантин продлят. Стоит отметить, что первые шесть школьных коллективов региональное управление Роспотребнадзора отправило домой, лечиться, еще 12 декабря. Назвать дату, когда все воронежские школы заработают в прежнем режиме, нельзя, так как занятия в них приостановили в разное время.",В школах Воронежа продолжается карантин.,entailment,train
"Новый тренер – это новый человек. Слушали меня внимательно и с уважением. Моей задачей было раскрепостить команду, привить хорошее настроение и уверенность в том, что в кратчайшие сроки мы вместе сможем изменить ситуацию, - приводит слова главного тренера пресс-служба клуба.",Новых тренеров всегда слушают с уважением.,not_entailment,train
"""С июня по 15 августа 34-летняя жительница Красный Кута растила младенца в доме без воды, света и тепла, ставя под угрозу жизнь и здоровье своего грудничка. - Оставляла его одного в квартире, - рассказали """"Комсомольской правде""""-Саратов в областной прокуратуре. - Проверка показала, что в доме условия проживания были крайне неудовлетворительные, поскольку там не было водоснабжения, газоснабжения, электроснабжения.""",Младенец не нуждался в свете и воде.,not_entailment,train
"""Выйдя за территорию митинга, я с удивлением обнаружил, что, несмотря на то, что начался он всего 40 минут назад, многие уже расходятся - поток людей уверенно двигался вдоль Кутузовского проспекта в сторону станции """"Парк Победы"""", которая, к слову, была до завершения мероприятия закрыта на вход. Впечатлениями от митинга пришедшие делились неохотно. Одна женщина с георгиевской ленточкой сообщила, что ей все понравилось, поскольку """"был чай"""".""",Народ уверенно сходился на митинг.,not_entailment,train
"Мы можем работать, потому что нас считают нейтральными. Мы помогаем в конфликтах, в которых могут участвовать больше двух сторон. И нам доверяют, потому что нас считают нейтральной и независимой гуманитарной  организацией.",Нам не доверяют.,not_entailment,train
"Мы планируем закрыть вопрос с Ленинским проспектом, - сказал он. - У нас, к сожалению, недостаточно средств, чтобы сделать дома на Трибуца. Но мы подумаем, откуда можно взять средства.",Средства можно будет откуда-то взять.,entailment,train
"В экстренные службы поступило сообщение о взрывных устройствах в зданиях Ленинградского, Ярославского и Казанского вокзала. «Поступила информация об угрозе взрыва сразу на двух столичных вокзалах: Ярославском и Казанском. По предварительным данным, причиной проверки стал анонимный звонок», - рассказал представитель экстренных служб.",На площади Трех вокзалов в Москве прогремел взрыв.,not_entailment,train
"В каждом районе были созданы мобильные группы, в которые вошли сотрудники администраций и полицейские.",В состав групп вошли сотрудники администраций и наименее мобильные полицейские.,not_entailment,train
"А после проекта про любовь Рита… полностью отдалась любви – она помирилась со своим бывшим молодым человеком. По словам красавицы, она смогла простить своего мужчину, потому что он полностью обеспечивает ее.",Мужчина обеспечивает Рите проблемы.,not_entailment,train
"К 15 часам дня планируется закончить сварочные работы. Затем участок теплотрассы будет наполнятся теплоносителем. Это займет время, потому что быстро заполнять нельзя, возможна новая авария.",Ремонт теплотрассы займет время.,entailment,train
"Огонь удалось потушить через восемь минут. Есть пострадавший. Также одна часть дома сгорела, вторая выгорела.",Огонь тушили восемь минут.,entailment,train
"Когда уже рассвело, местные увидели на детской площадке повешенного на турнике мужчину.",Повешенный мужчина тренировался на детской площадке.,not_entailment,train
"""""""Это серьезная прибавка"""", - сказал журналистам в пятницу экс-глава Минфина, который приехал на конференцию в Женеву по приглашению Паскаля Лами. """"Больше сможем производить, больше рабочих мест и инвестиций. Потому что сможем торговать на других рынках более свободно, можем расширять производства более смело"""", - отметил он.""",Экс-глава Минфина рад перспективам расширения международного туризма.,not_entailment,train
"""Утренние заплывы в  городском пруду тестостеронного """"бондовского"""" энтузиазма и жизнелюбия Джорджу Смайлу никак не прибавляют. Он возвращается на свой диван ровно для того, чтобы услышать стук в дверь, который для отставленного сотрудника разведки вряд ли может стать галлюцинацией или сном. Потому что """"бывших"""", как водится, в этой среде, не разводят.""",В дверь Джорджа Смайла постучали.,entailment,train
"За время работы ее посетили свыше тысячи человек, сообщает министерство здравоохранения.",Посетителей было больше тысячи.,entailment,train
"Большинство застрявших в пробках водителей жаловались на неубранные дороги. В выходные в городе не прекращался снегопад и, похоже, городские власти вновь оказались к этому не готовы. Впрочем, если верить заявлениям чиновников, они сделали все, что смогли.",Водители застряли в пробках.,entailment,train
"Преступление удалось раскрыть в кратчайшие сроки благодаря тому, что пострадавшая сразу сообщила о случившемся в полицию. На помощь женщине оперативный дежурный направил ближайший патрульный экипаж. Отрабатывая дворы, прилегающие к месту происшествия, полицейские увидели молодого человека, приметы которого совпадали с описанием грабителя, и задержали его.",Молодого человека задержали по наитию.,not_entailment,train
"""По мнению С.Еничери, это противоречит принципам, сформулированным в Коране. """"Дед Мороз прибирается в дома через окна или дымоходы. Если бы он был честным человеком, то проходил бы через двери, так как у нас так принято"""", - отметил имам.""","По мнению имама, поведение Деда Мороза соответствует принципам Корана.",not_entailment,train
"Трое молодых людей, из числа ранее судимых, совершили 23 кражи из гаражей и дачных участков. Вначале, они при помощи топора разобрали крышу пристроя к магазину поселка Железнодорожный, проникли на склад продуктов и собрались вынести бутылки с пивом и подсолнечным маслом, несколько пачек пряников, печенье, вермишель и наборы карамели. Однако увести награбленное они не смогли, так как их спугнула охрана.",Воры не сумели унести карамель и вермишель.,entailment,train
"По версии следствия, в начале ноября прошлого года судебный пристав-исполнитель при посредничестве своего знакомого - специалиста УФССП по РО потребовали от гражданина денежные средства за незаконное прекращение исполнительного производства и снятие арестов с имущества и счетов должника, - рассказали в СУ СК России по Ростовской области. Деньги они не успели получить, так как вмешались сотрудники правоохранительных органов.",Судебный пристав-исполнитель и специалист УФССП по РО получили взятку.,not_entailment,train
"""""""После инцидента 15 августа 2011 г. ко мне приезжал молодой человек со стороны Агафонова, он требовал видеозапись с камер наблюдения"""", - рассказал он. По его словам, угрожавший обещал """"всем устроить, так как побили хорошего человека"""". """"Я отказал, так как это могут требовать только правоохранительные органы"""", - сообщил Береговой.""",Береговой не отдал запись молодому человеку.,entailment,train
"Как сообщила в понедельник газета Daily Telegraph, ожидается, что во вторник законопроект будет отправлен на окончательное согласование в нижнюю палату парламента. Никаких препятствий на пути к окончательному принятию законопроект не должен встретить, поскольку ранее палата общин уже одобрила его первоначальную версию подавляющим большинством голосов.",Daily Telegraph рассказала о предстоящей судьбе законопроекта.,entailment,train
"Задержание провели сотрудники Железнодорожного района, которые на улице Ленинградской остановили подозрительного мужчину.",Подозрительного мужчину смогли задержать.,entailment,train
"Все, что доступно простым жителям города в магазинах, можно запускать и взрывать прямо во дворе своего дома, не боясь быть задержанным. Главное - не нарушать условия использоваться, указанные на упаковке. Уголовная ответственность может наступить лишь в случае, если салют нанес ущерб окружающим.","За запуск и взрывы салютов во дворе своего дома полиция не накажет, если нет пострадавших и ущерба.",entailment,train
"Сотрудники городского управления потребительского рынка провели рейд по торговым точкам, где нелегально продают новогодние деревья.",По нелегальным точкам продажи елок открыт огонь.,not_entailment,train
"В сеть выложили ролик, как маршрутка улетела в сугроб, уходя от столкновения с легковушкой.",Маршрутка врезалась в сугроб.,entailment,train
"Нужно, чтобы люди имели возможность заявить свою оппозицию, непростая задача для власти, да, но надо к этому стремиться. Я искренне говорю об этом, потому что когда мы это обеспечим, будет видна работа каждого из нас.",Мы никогда не обеспечим людям возможность заявить свою оппозицию.,not_entailment,train
"Рождество Христово - время радости, и этой радостью хочется делиться со всеми, а особенно с теми, кто в ней нуждается: одинокими стариками, мамами, попавшими в трудную ситуацию, - рассказали в хабаровской епархии.","В хабаровской епархии радостью хотят делиться со всеми, кто в ней нуждается.",entailment,train
"Во время праздничной церемонии в муниципалитете он заявил, что главными задачи для него является максимальное использование всех возможностей в области предпринимательства и экономического развития.",Он сделал заявление по окончании праздничной церемонии.,not_entailment,train
"""Ведь по какой причине он вообще взялся за этот фильм? Все говорит о том, что не по причине интереса к творчеству молодых художников, а по причине скандальности темы. И именно это сыграло злую шутку с фильмом """"Завтра"""", потому что он получился не достаточно скандальным, и уже точно не заслужившим внимания как произведение киноискусства.""",Фильм вышел не заслуживающим внимания как произведение киноискусства.,entailment,train
