premise,hypothesis,label,predicted_label,label_quality_score
"Малыш, которому исполнилось всего один месяц от роду, скончался от острого отравления алкоголем. Как выяснилось в ходе доследственной проверки, вечером накануне гибели ребенка мать захотела выпить спиртного. Муж не мог ее остановить, потому что в это время был на работе.",Мать не успела выпить спиртного.,not_entailment,entailment,0.28517282
"Преступник ударил в живот сначала одну сестру, потом вторую, после чего зачем-то повел младшую в неизвестном направлении. На улице девушка стала говорить, что ей плохо. Тогда парень разбил окно в одном из домов, затащил ее туда, но, услышав, что кто-то идет, сбежал.",Преступник ударил обеих сестер в одно и то же место.,entailment,not_entailment,0.28537193
"В одном из интернет-магазинов она заказывала продукты. Спустя пару дней после получения товара ей позвонил неизвестный, который представился сотрудником отдела обслуживания клиентов интернет-магазина и поинтересовался качеством купленного товара. Женщина ответила, что продукты ей не понравились.",Женщина заказывала продукты в соседнем городе.,not_entailment,entailment,0.28781784
"В октябре ее закрывали на ремонт: в правой части центрального блока здания усилили каркас стальными канатами, укрепили и усилили фундамент, завершили восстановление поврежденной отделки.",Поврежденную отделку полностью восстановили.,entailment,not_entailment,0.2885691
"Упавшая на газон девушка выжила, но получила тяжелые травмы. Осознав, что он натворил, мужчина скрылся, но позже добровольно явился в следственные органы. При этом свою вину подсудимый вину не признал, пояснив, что его жена сама выпрыгнула в окно, поскольку была склонна к суициду.",Газон нанес девушке тяжелые травмы.,not_entailment,entailment,0.2887195
"Означает ли введение такой маркировки, что продукты с растительными добавками полностью исчезнут с прилавков наших магазинов?",Продукты с растительными добавками полностью исчезнут с прилавков наших магазинов.,not_entailment,entailment,0.28886992
"Все улицы, которые будут переименованы, находятся на окраинах города.",Улицы в центре пока переименованы не будут.,entailment,not_entailment,0.29007506
"В квартире на 2 этаже находился 70-летний хозяин, когда неожиданно раздался громкий хлопок и погас свет. Оказавшись на кухне, мужчина увидел огонь. После попытки самостоятельно потушить пламя хозяин попытался выйти наружу, потому что из-за дыма стало нечем дышать.",На кухне сушился хлопок.,not_entailment,entailment,0.29042712
"В селе Доброе Липецкой области в огороде местной жительницы сотрудники полиции раскопали труп неизвестного человека, который уже превратился в скелет.",В огороде вырос труп.,not_entailment,entailment,0.29153523
"Была угроза того, что огонь перекинется на соседние дома.",Огонь мог перейти на стоящие рядом дома.,entailment,not_entailment,0.29153523
"Третий месяц зимы тоже не готовит особых климатических сюрпризов. Среднемесячная температура и количество осадков будет соответствовать традиционным для нашего региона значениям. Весна ожидается ранней, но может продлиться дольше обычного.","Ожидается, что весна начнется рано.",entailment,not_entailment,0.29188833
"""Голкипер """"Барыса"""" и сборной Казахастана Алексей Иванов заявил, что после полутора недель сборов в астанинской команде ему указали на дверь. """"Барыс"""" разорвал со мной контракт без объяснения причин. Поскольку это было сделано в одностороннем порядке, мне теперь должны выплатить компенсацию"""".""","""""""Барыс"""" выгнал Алексея Иванова.""",entailment,not_entailment,0.29269636
"Парни, как выяснилось, ушли из дома во Владимирской области, не поставив в известность родителей.",Парни ушли тайком от родителей.,entailment,not_entailment,0.29274693
"Разве они могли встречаться и общаться со мной, если бы грязь, которая на меня выливается, была правдой? Это черный пиар, и нечистые на руку люди делают это для того, чтобы облить меня грязью. Грязь ко мне не прилипает, она просто отпадает, потому что я никакого отношения к этим фактам не имею.","Грязь, которая на меня выливается, - правда.",not_entailment,entailment,0.29310086
"Мужчина узнал, что женщина продает квартиру, и предложил свою помощь в сделке.",Мужчина помог в сделке.,not_entailment,entailment,0.29330325
"Была опасность остаться без главного новогоднего символа. Но мир не без добрых людей. Нашелся меценат, который взял все расходы на себя.",Остались без главного новогоднего символа.,not_entailment,entailment,0.29350573
"""""""Нечто подобное происходило в сентябре-октябре прошлого года, примерно то же самое: тоже кризис в Европе, тоже падение цен на нефть в конце сентября - начале октября"""", - отметил он, добавив, что тогда на ситуацию негативное влияние продолжило оказывать снижение рейтинга США, произошедшее в августе. Зампред ЦБ Сергей Швецов в пятницу также заявил, что регулятор не видит рисков в текущей волатильности на валютном рынке, потому что """"она абсолютно нормальная"""". """"Доллар растет ко всем валютам, потому что выигрышная по отношению к другим странам ситуация в американской экономике - тихая гавань"""".""",Зампред ЦБ считает текущую волатильность на валютном рынке ненормальной.,not_entailment,entailment,0.29370826
"Как установили стражи порядка, злоумышленники действовали по заранее разработанной схеме. На сайте бесплатных объявлений подбирали предложение о продаже недвижимости или авто. Звонили продавцу, предлагали предоплату.",Злоумышленники были продавцами.,not_entailment,entailment,0.2939109
"""Без донорского сердца шансов у пациента не было - тяжелая кардиомиопатия очень скоро привела бы к гибели. В краевой больнице подчеркивают: донорское сердце они получили от коллег из СКЦ ФМБА России: """"Благодаря координации больниц, оперативной работе всех служб, донорскому сердцу, доставленному в ККБ всего лишь за 1,5 часа, в отделении кардиореанимации сидит и с тоской смотрит на дверь крупный красивый мужик. Ему хочется домой, потому что там, впереди - целая жизнь"""".""",Пациент бы умер без донорского сердца.,entailment,not_entailment,0.2941643
"На вопрос классного руководителя о причинах их появления мальчик ответил, что подрался со старшим братом.",Мальчик подрался.,not_entailment,entailment,0.2944178
"Отметил День защитника отечества, называется.",День защитника отечества не вызвал приятных эмоций.,entailment,not_entailment,0.2944178
"Об этом вечером во вторник, 17 января, сообщила пресс-служба Спасательного департамента, отметив, что немецкую противотанковую мину Tellermine 42 обнаружили в на улице Кеэвисе в ходе земляных работ. Спасатели эвакуировали жителей окрестных домов, офисов и складских помещений. Уничтожать мину на месте не стали, поскольку это угрожало повреждению трассы трубопровода.",В ходе земляных работ нашли воду.,not_entailment,entailment,0.2946207
"Оказалось, пока ее не было, в доме орудовали воры.",Воры похозяйничали в ее доме.,entailment,not_entailment,0.294976
"При этом девочка дважды предпринимала попытки покончить жизнь самоубийством, - сообщают в СУ СК по республике Бурятии. - Однако, 34-летняя педагог никаких мер не приняла. Следователи считают, что девочка совершила суицид именно потому что не получила должной помощи.",Эта девочка не раз пыталась себя убить.,entailment,not_entailment,0.294976
"Все, что доступно простым жителям города в магазинах, можно запускать и взрывать прямо во дворе своего дома, не боясь быть задержанным. Главное - не нарушать условия использоваться, указанные на упаковке. Уголовная ответственность может наступить лишь в случае, если салют нанес ущерб окружающим.","За запуск и взрывы салютов во дворе своего дома полиция не накажет, если нет пострадавших и ущерба.",entailment,not_entailment,0.29538235
"""""""Есть опасение, что будет дана запретительная установка, что будет сложнее договариваться, и последнее решение мэрии по акции 4 февраля это подтверждает"""", - сказал Удальцов. Оппозиционер надеется на компромиссное разрешение ситуации, поскольку """"в противном случае, судя по тому, что пишут в Интернете желающие принять участие в шествии, ситуация может выйти из-под контроля ее организаторов, начнет развиваться стихийно, и вчера мы об этом заместителю мэра сказали"""".""",Последнее решение мэрии по акции 4 февраля обещает трудности в будущих переговорах.,entailment,not_entailment,0.29563648
"В одном из интернет-магазинов она заказывала продукты. Спустя пару дней после получения товара ей позвонил неизвестный, который представился сотрудником отдела обслуживания клиентов интернет-магазина и поинтересовался качеством купленного товара. Женщина ответила, что продукты ей не понравились.",Женщина заказывала продукты в Сети.,entailment,not_entailment,0.29650146
"Во время обыска в квартире подозреваемого полицейские обнаружили нож, а также похищенную сумку. Известно, что нападавший ранее судим за кражу, угон и мошенничество, а освободился из мест лишения свободы в ноябре прошлого года. По его словам, его мучили угрызения совести, поэтому он явился к стражам порядка.",Угон явился к стражам порядка.,not_entailment,entailment,0.29741892
"Ожидается, что перед судом выступит руководитель группы гособвинения Виктор Антипов, который предложит наказание подсудимым.",Подсудимые смогут выбрать себе наказание.,not_entailment,entailment,0.29767406
"Злой умысел посетил их во время трапезы на одном из участков линии электропередач, где они вырубали кустарник.",Мысль о злодействе пришла им за едой.,entailment,not_entailment,0.2986959
"Срок был продлен на два года, поскольку для обладателей патентов необходим переходный период для того, чтобы иметь возможность адаптироваться к деятельности в качестве индивидуальных предпринимателей.",Обладатели патентов уже адаптировались к деятельности в качестве индивидуальных предпринимателей.,not_entailment,entailment,0.2986959
"""Вот так мурманский кот остался без опеки перед 20-летием. Старика передали волонтерам, которые нашли у него тяжелую хворь. - Врачи называют эту болезнь """"дорогой в никуда"""", потому что лечению она не поддается.""",Мурманский кот неизлечимо болен.,entailment,not_entailment,0.29915637
"Все они будто бы попали в инфекционную больницу, а двое погибли.","Все абсолютно точно попали в какую-то больницу, а двое погибли.",not_entailment,entailment,0.29946357
"Один из вернувшихся в Нидерланды из Донбасса журналистов заявил, что голландская полиция конфисковала у него и его коллеги материалы по крушению MH17. По словам Стефана Бека, правоохранители забрали не только телефон, ноутбук и камеру, но и предметы, найденные на месте падения малайзийского Boeing 777-200. Как отметил журналист, в голландской прокуратуре объяснили это тем, что сами не могут собрать подобный материал, поскольку в регионе, где произошло крушение, «слишком опасно».","Голландская полиция присвоила вещественные доказательства, собранные журналистом.",entailment,not_entailment,0.2995148
"Среди похищенной продукции компании Apple - по два планшета второго и третьего поколений и один четвертого. Общая стоимость украденной техники составляет не менее $3 тыс., отмечает издание. По данным полиции, пропажа была замечена только сейчас, поскольку сотрудники центра вышли на работу после череды праздничных дней.",После праздников в центре недосчитались пяти планшетов Apple.,entailment,not_entailment,0.3006429
"Предприниматели продолжают устанавливать незаконные постройки, однако власти города на примере Сенной площади уже доказали, что лучше не спорить и убрать свое добро самостоятельно.",Предприниматели иногда возводят строения незаконно.,entailment,not_entailment,0.30089962
"У женщины, которая почти два года терпела побои и унижения, сдали нервы.",Женщину били и унижали два года.,entailment,not_entailment,0.300951
"Как рассказали «Комсомольской правде» в пресс-службе администрации региона, собравшиеся обсудили реализацию государственной политики по физкультуре и спорту.",Собравшиеся осудили реализацию государственной политики по физкультуре и спорту.,not_entailment,entailment,0.3011565
"""По его словам, в результате падения обломков, по предварительным данным, никто не пострадал. """"Людей в тех местах находиться не должно было"""", - сказал собеседник агентства. Он также отметил: """"Мы со своей стороны не будем отправлять туда наших специалистов, поскольку не обладаем соответствующими средствами индивидуальной защиты.""",Обломки не падали.,not_entailment,entailment,0.30151626
"Российские законодатели напомнили, что российские сироты не окажутся в однополых британских семьях, поскольку это запрещает недавно принятый в России закон.",Недавно принятый в России закон не позволит британским однополым парам воспитывать российских сирот.,entailment,not_entailment,0.30197924
"""Ей позвонил человек, представился сотрудником Пенсионного фонда и предложил подключить ей услугу """"Мобильный банк"""".""",Ей позвонил сотрудник Пенсионного фонда.,not_entailment,entailment,0.3024941
"Управление Федеральной почтовой связи Калининградской области выплатило клиентке денежный перевод, который работник одного из отделений украл, подделав подпись женщины в документе.",Почта изъяла у клиентки украденные деньги.,not_entailment,entailment,0.30290633
"Двоих преступников, которые похищали фары с дорогих машин, задержали иркутские полицейские.",Иркутские полицейские нашли все украденные фары с дорогих машин.,not_entailment,entailment,0.304145
"К спасательной операции подключились силы Национальной гвардии США и дополнительные полицейские подразделения. На грузовиках они подвезли провиант и воду в районы у восточных склонов Скалистых гор, которые в данный момент оказались полностью блокированы в результате разлива рек. Работы осложняются, так как многие дороги оказались непроходимы из-за оползней, спровоцированных разливом воды.",Национальная гвардия США пытается остановить разливы рек.,not_entailment,entailment,0.3041967
"По информации правоохранительных органов, конфликт случился на дороге во Всеволожском районе, клирик вступил в перепалку и нанес травмы двум женщинам, с которыми не поделил дорогу. 6 сентября протодиакон Сергий Фрунза предпринял очередную попытку извиниться перед женщинами. Очередную, потому что он и его матушка уже несколько раз ходили извиняться.",Клирик и матушка ходили извиняться перед женщинами по очереди.,not_entailment,entailment,0.30512762
"Сыщики заметили, что почерк всех преступлений был одинаковый, поэтому легко напрашивался вывод, что это сделал один и тот же человек.",Сыщики сверяли почерк преступлений.,entailment,not_entailment,0.30637136
"""""""А почему через окошко?"""" — интересуется спасатель. """"Потому что сын меня закрывает на ключ"""".""",Сын закрыл спасателя на ключ.,not_entailment,entailment,0.30637136
"Циклон уходит в океан, там растворяется.",Циклон рассеивается над океаном.,entailment,not_entailment,0.30652705
"""Как сообщили """"Комсомольской правде на Северном Кавказе"""" в краевом управлении ГИБДД, около полудня на улице Трудовая беременная женщина за рулем """"Додж Караван"""" выбрала небезопасную скорость, не справилась с управлением, столкнулась с """"Киа Спектра"""", которая ехала по встречке, а потом врезалась в бетонный забор. В результате аварии 38-летняя местная жительница погибла на месте от полученных травм. Вполне вероятно, что сопутствующей причиной аварии стала неопытность, так как права она получила всего полгода назад.""",Беременная женщина снесла бетонный забор.,not_entailment,entailment,0.3069943
"""""""Если вернуться к теме смены власти в Петербурге, то что бы Вы хотели бы пожелать новому губернатору?"""" - """"Я думаю, что ему можно пожелать, по крайней мере, на первом этапе, чтобы все в городе объединились, помогая ему, что будет очень трудно, потому что грядет период выборов"""".""","Все в Петербурге объединятся ради помощи новому губернатору, но только на первом этапе.",not_entailment,entailment,0.30735803
"""""""Но честно, объективно и по решению суда"""", - заявил Бастрыкин в интервью """"Интерфаксу"""". Отвечая на вопрос об обысках и вызове на допрос лидеров оппозиции, глава СКР подчеркнул, что они пока находятся в статусе свидетелей. """"Это совершенно нормальное состояние, потому что мы не имеем достаточных доказательств, чтобы перевести их хотя бы в статус подозреваемого либо обвиняемого"""".""","Как только появляются доказательства, свидетелей переводят в статус подозреваемых или обвиняемых.",entailment,not_entailment,0.30735803
"Некоторые говорили, что видели Лиану в Уфе, якобы она там работает, но эти слухи не подтвердились. Тем временем, в деревне у пропавшей остался семилетний сынишка. Сейчас мальчика воспитывает бабушка. Родственники не теряют надежды, что девушка вернется домой – живая и здоровая.",Сыну Лианы 7 лет.,entailment,not_entailment,0.30850264
"""Вокруг все искусственно поудивлялись, натужно рассмеялись голливудскими белозубыми улыбками, мол, ах-ах, как остроумно, и проследовали в зал. С тех пор за весь предпремьерный период """"диктатор"""" Барон Коэн не упустил, кажется, ни единой возможности """"ввернуть"""" бесплатный промоушен своей новой комедии в хиреющее и закисающее медийное пространство. Строго говоря, в избранном амплуа – он гений, но гений места и времени, потому что """"диктаторские"""" шутки выглядят живее в жизни, а не в кино.""",Голливудские улыбки остроумны.,not_entailment,entailment,0.30860683
"Полиция ведет расследование, в то время как отчаявшийся отец малышек угрожает врачам расправой.",Отчаявшийся отец малышек расправился с врачами.,not_entailment,entailment,0.31017175
"""Как сообщалось, 15 шахтеров в понедельник 3 сентября отработали положенную смену - с 08:00 до 16:00, а по окончании смены не поднялись с горизонта минус 860 метров. Они требовали в том числе отменить незаконно введенный на предприятии ООО """"Рус-Инжиниринг"""", которое входит в """"РусАл"""" и обслуживает СУБР, скользящий график, а также повысить оклады. Ранее компания назвала действия участников акции незаконными, в том числе потому что """"шахта является объектом повышенной опасности и нахождение в ней без специальных нарядов категорически не допускается"""".""",Шахтеры протестуют в шахте.,entailment,not_entailment,0.3104853
"Работники ведомства искали фрукты и овощи, которые попали на территорию Российской Федерации, несмотря на то, что их ввоз запрещен согласно ответным российским экономическим мерам.",Ввоз на территорию Российской Федерации фруктов и овощей запрещен согласно ответным российским экономическим мерам.,not_entailment,entailment,0.31066823
"Как выяснилось, на ее компьютер при переходе на один из Интернет-сайтов установилось вирусное программное обеспечение.",Ее компьютер словил вирус.,entailment,not_entailment,0.3106944
"Соревнования между командами, в составе которых есть представители самых разных национальностей, уже не первый раз проходят в нашем городе, и с каждым годом собирают все больше участников.",Это интернациональные соревнования.,entailment,not_entailment,0.31126982
"Отмечается, что увеличение ставки произошло впервые за год.",Ставка выросла впервые за год.,entailment,not_entailment,0.31163633
"""""""Принимая во внимание аргумент правительства, что партия после роспуска может преобразоваться в общественную организацию, суд признал неприемлемым принуждение организации принимать иную юридическую форму, чем она требует"""", - говорилось в сообщении ЕСПЧ. Судьи также отметили, что преобразование в общественную организацию не позволит республиканской партии участвовать в выборах. Судьи также сочли необоснованным роспуск партии из-за малой численности, поскольку меньшинства тоже должны иметь возможность участвовать в политической жизни.""",Судьи готовы распустить партию из-за малой численности.,not_entailment,entailment,0.3116625
"В какой-то момент между ними возникла ссора, и тогда он несколько раз ударил ножом собутыльника. От полученных ранений потерпевший скончался на месте происшествия. - Во время допроса злоумышленник так и не смог вспомнить причину ссоры, поскольку был сильно пьян.",Потерпевший скончался еще до ссоры.,not_entailment,entailment,0.31184584
"В Кремле эти заявления не комментировали. Что касается сегодняшних высказываний Ноды о том, что ему придется приехать в Россию в январе, а то и позже, то Дмитрий Песков уже успел на них отреагировать. По его словам, визит японского премьера никто не переносил, поскольку о фиксированных датах речи не было.",Нода заявил о необходимости посетить Россию в январе или позже.,entailment,not_entailment,0.31200305
"Я бы дал деньги на командировки, потому что спортивный журналист здесь сидеть не должен, он должен ездить.","Спортивный журналист должен ездить, а не сидеть.",entailment,not_entailment,0.31226513
"Черную мраморную доску, на которой фотограф изображен со своей камерой, установили в парадной дома 12 ноября 2015 года – во время празднования 160-летия первого фоторепортера в России. В течение 30 лет с 1908 по 1938 год в этом доме в фотоателье работали Булла и его сыновья. Поскольку дом является историческим зданием, доску устанавливали внутри, а не на фасаде.",Фотограф изобразил черную мраморную доску.,not_entailment,entailment,0.31242245
"Его обвиняют в получении взятки и служебном подлоге. По версии следствия, налоговик вносил заведомо ложные сведения в протоколы против индивидуальных предпринимателей. По четырем фактам, когда составлялись фиктивные протоколы, уже расследует уголовное дело.",Налоговик обнаружил фиктивные протоколы.,not_entailment,entailment,0.3127372
"Подозреваемый признал вину и пояснил, что в ту ночь им с приятелем очень хотелось выпить. Поэтому они направились в круглосуточный магазин. Но продавец отказалась продать им пиво, так как было слишком поздно.",Подозреваемый с приятелем выпили в круглосуточном магазине.,not_entailment,entailment,0.31305212
"""""""Если вернуться к теме смены власти в Петербурге, то что бы Вы хотели бы пожелать новому губернатору?"""" - """"Я думаю, что ему можно пожелать, по крайней мере, на первом этапе, чтобы все в городе объединились, помогая ему, что будет очень трудно, потому что грядет период выборов"""".""",Период выборов не за горами.,entailment,not_entailment,0.3133147
"Раненный скончался в больнице. Обвиняемый сбежал и у сыщиков не осталось никаких зацепок, кто бы мог быть убийцей. Два года пытались найти подозреваемых, но тщетно и дело закрыли.",Раненый выжил.,not_entailment,entailment,0.31368253
"""""""Для принятия  конституционных  изменений мы  проведем  референдум, поскольку  конституция  не  принадлежит  государству,  она   принадлежит  народу"""", -  заявил президент.""","Президент сказал, что все принадлежит народу.",not_entailment,entailment,0.3143662
"Рождество Христово - время радости, и этой радостью хочется делиться со всеми, а особенно с теми, кто в ней нуждается: одинокими стариками, мамами, попавшими в трудную ситуацию, - рассказали в хабаровской епархии.",Рождество - время проблем.,not_entailment,entailment,0.3147873
"Гость же пропал вместе с электроинструментами, фотоаппаратом и другими ценными вещами общей стоимостью 56 тысяч рублей. По факту возбудили уголовное дело, а подозреваемого объявили в розыск. На поиски ушло несколько суток, так как мужчина не имел постоянного места жительства и не общался с родными.",Мужчина унес фотоаппарат и электроинструменты.,entailment,not_entailment,0.31489265
"""Эта реплика пришлась не по душе экс-министру финансов Алексею Кудрину, который сказал журналистам, что """"это отношение к протесту неверное, я с таким отношением не согласен, потому что сотни тысяч людей не вышли бы (на митинги за деньги - ИФ)"""". Впрочем, сам В.Путин, несмотря на возросшую политическую активность бывшего соратника по правительству, по-прежнему считает его другом и членом своей команды, которому еще найдется место в строю. В общем и целом, по словам премьера, протесты в рамках закона полезны, потому что не дают чиновникам расслабиться (""""потому что власть далеко не всегда правильно себя ведет и адекватно отвечает на вызовы времени""""), но уклон в сторону """"цветных революций"""" недопустим (""""позволить себя втянуть в какие-то схемы по дестабилизации общества, вот это, мне кажется, неправильно"""").""",Кудрину реплика понравилась.,not_entailment,entailment,0.31573597
"Сегодня к экономии средств активно подключаются муниципальные образования, поскольку имеется республиканская поддержка.",Экономией средств занимается все больше территорий.,entailment,not_entailment,0.31584147
"Производители молока подали в суд, который в итоге вынес решение.",Производители молока угостили суд.,not_entailment,entailment,0.31631646
"Улицы частично оказались затоплены, но в ночь отключать тепло в жилых домах не стали.",Улицы совсем затопило.,not_entailment,entailment,0.3164221
"Машину украсть было несложно, ведь потерпевший оставил ее ключом в замке зажигания.",Потерпевший усложнил угонщику задачу.,not_entailment,entailment,0.3164221
"Как рассказывает в одной из социальных сетей очевидец происшествия, бабушка выходила из автобуса №41, когда его двери неожиданно захлопнулись, и нога пенсионерки оказалась в капкане.",Автобус №41 защемил бабушкину ногу.,entailment,not_entailment,0.31700325
"Супруги поссорились, и мужчина попытался убить жену.","Мужчина попытался убить жену, с которой помирился.",not_entailment,entailment,0.31769082
"В дежурную часть полиции поступило сообщение из продуктового магазина по улице Мира о том, что покупатель украл товар из торгового зала и скрылся.",Покупатель оказался воришкой.,entailment,not_entailment,0.31769082
"После того как клиент оформит подписку на сервис, он будет получать уведомления о наличии штрафов автоматически.",Клиент автоматически будет оштрафован.,not_entailment,entailment,0.31790254
"Как сообщает прокуратура Ульяновской области, в тот день мужчина поругался с отцом. Причиной ссоры стало то, что сын не работал и постоянно пил. Мужчина стал избивать отца руками, и от полученных травм тот скончался на месте происшествия.",Пьяный сын убил отца.,entailment,not_entailment,0.31912136
"""""""Поэтому на перспективу этот потенциал, заложенный Кудриным, должен работать еще несколько лет"""", - думает он. С точки зрения решения тактических задач, когда вдруг появляется предложение об участии государства бюджетными деньгами в каком-то проекте, по мнению Сторчака, """"без хорошего политического веса работать будет тяжелее"""". """"Это очевидно, потому что решения принимаются в процессе диалога, дискуссии, и аргументы часто сводятся к тому, что прав тот, у кого больше прав"""", - отметил он.""",Решения принимаются без дискуссий.,not_entailment,entailment,0.3196521
