premise,hypothesis,label
"""Они требовали в том числе отменить незаконно введенный на предприятии ООО """"Рус-Инжиниринг"""", которое входит в """"РусАл"""" и обслуживает СУБР, скользящий график, а также повысить оклады. Ранее компания назвала действия участников акции незаконными, в том числе потому что """"шахта является объектом повышенной опасности и нахождение в ней без специальных нарядов категорически не допускается"""". По информации алюминиевой компании, сотрудники также нарушили законодательство, так как заранее не предупредили работодателя о проведении забастовки и не согласовали ее проведение.""",Сотрудники бастуют.,entailment
"Горожане вовсю продолжали празднество, когда ближе к вечеру свет в квартирах домов неожиданно погас.",Празднество омрачилось отключением воды.,not_entailment
"Со страницы его друга в социальной сети пришло сообщение с просьбой перевести пять тысяч рублей. Отзывчивый приятель выполнил просьбу, а потом перезвонил, чтобы поинтересоваться, как дела у попавшего в беду. Тот заверил, что понятия не имеет, о каких деньгах идёт речь.",Отзывчивость обошлась приятелю в пять тысяч рублей.,entailment
"Картер заявил, что успешность своей политики российский лидер определяет по степени дискомфорта, который он якобы создает в остальном мире.",Картер высказался о мерках успеха в экономической политике.,not_entailment
"""""""По словам самих родителей, им угрожали, оказывали психологическое давление, заранее обвиняя меня во всей этой мерзости для того, чтобы мамы написали заявления, что они и сделали. Многие женщины поддались эмоциям и рассказали всё в педофильском свете, и теперь они, поняв, что их обманули, не знают как поступить. Потому что им угрожают за дачу ложных показаний дать срок"""", - написал он.""","Он написал о том, что рассказали родители.",entailment
"Отец вышел на балкон и дверь внезапно захлопнулась. Благо, телефон мужчина взял с собой. Он вызвал спасателей, которые благополучно попали в квартиру и освободили родителя, а также успокоили перепуганного четырехлетнего мальчика.",Малыш остался дома с матерью.,not_entailment
"""""""Соответственно, если мы идем под Москву, в московское подчинение, нам сказали, что у нас не будет общежития. А так как в Гнесинку стремятся со всей России, то приезжим просто негде будет жить"""", - заключил Михаил. Он, как и все мои респонденты, очень молод, но, судя по всему, принимать взрослые решения пришлось даже самым юным ученикам колледжа, если это вообще можно назвать решением, поскольку выбора у них как такового не было.""",Гнесинка отдаст общежитие в региональное подчинение.,not_entailment
"""Выйдя за территорию митинга, я с удивлением обнаружил, что, несмотря на то, что начался он всего 40 минут назад, многие уже расходятся - поток людей уверенно двигался вдоль Кутузовского проспекта в сторону станции """"Парк Победы"""", которая, к слову, была до завершения мероприятия закрыта на вход. Впечатлениями от митинга пришедшие делились неохотно. Одна женщина с георгиевской ленточкой сообщила, что ей все понравилось, поскольку """"был чай"""".""",Народ уверенно сходился на митинг.,not_entailment
"""В начале недели московский межрегиональный транспортный прокурор Владимир Тюльков рассказал """"Интерфаксу"""", что на данный момент зафиксировано около 70-ти случаев ослепления пилотов лазерными указками. Но по его мнению сложность этой ситуации связана в частности с отсутствием нормативной базы по противодействию вышеуказанным проявлениям, поскольку лазерные указки продаются свободно.""","Нормативной базы, способной защитить пилотов от лазерной указки, пока нет.",entailment
"""В ходе оперативных мероприятий проверялась информация, предоставляемая экстрасенсами. """"Мы не отказываемся ни от какой помощи, особенно когда речь идет о судьбе ребенка. Мы пользуемся услугами экстрасенсов, но исключительно избирательно, поскольку у нас есть как положительный, так и отрицательный опыт работы с ними"""", - сказал он.""","Информацию, полученную от экстрасенсов, оперативники принимали на веру.",not_entailment
"Мне очень жаль, если мои слова восприняли как оскорбление юбилея русского хоккея. Я глубоко уважаю ваш хоккей и хочу поздравить его со знаменательной датой. Русский хоккей всегда занимал одну из главных ролей в мире, и я хочу, чтобы у него было столь же светлое будущее.",Я желаю русскому хоккею светлого будущего.,entailment
"И все могло закончиться печально, если бы один из сотрудников не забил тревогу.",Один из сотрудников так и не встревожился.,not_entailment
"Из них по семи были вынесены обвинительные заключение, а по одному принято решение о мерах медицинского воздействия. Ни по одному из дел не было вынесено оправдательного приговора. Благодаря слаженной работе силовиков не было зарегистрировано ни одной экстремистской акции или провокации, которые могли бы дестабилизировать общественно-политическую ситуацию или сорвать выборные компании.",Оправдательных переговоров вынесено не было ни по одному из дел.,entailment
"Суд в китайском Цзинане приговорил опального политика Бо Силая, обвиняемого в коррупции и злоупотреблении властью, к пожизненному сроку, сообщает британская телерадиовещательная корпорация Би-би-си.",Политика осудили на пожизненное заключение.,entailment
"Косвенная связь есть. Она человек публичный, таскала меня с собой на все светские мероприятия. Когда все это закончилось, остался один футбол, и все стало лучше.",У меня не осталось даже футбола.,not_entailment
"26 июня прошлого года обвиняемый вломился в дом к 59-летнему соседу в селе Виняево Арзамасского района и жестоко избил его до полусмерти. Мужчина не смог оправиться от травм и через месяц скончался в больнице. В октябре злоумышленник был задержан. Он признал свою вину лишь частично и рассказал, что конфликт с соседом произошел из-за щенка.",В результате конфликта двух соседей выжил только щенок.,not_entailment
"Как сообщают в социальных сетях местные жители, на свет появилось одноглазое животное, напоминающее циклопа.",Одноглазое животное самозародилось в соцсетях.,not_entailment
"В регионе будут колебания атмосферного давления, которые спровоцируют головные боли и боли в области сердца.",У всех жителей региона будут головные боли и боли в области сердца.,not_entailment
"Кроме того, он заявил, что ассоциация не может считаться независимой, потому что финансируется из-за рубежа.","Он напомнил, что расходы ассоциации оплачиваются из-за рубежа.",entailment
"За это предлагается наказывать штрафом в размере до 300 тыс. рублей или в размере зарплаты осужденного за период до двух лет, обязательными работами на срок до 240 часов, принудительными работами на срок до одного года, либо лишением свободы на срок до одного года. Таким образом, принятая во втором чтении поправка смягчает наказание, поскольку в первоначальном варианте законопроекта максимальный срок лишения свободы за оскорбление чувств верующих был равен не одному, а трем годам.",За оскорбление чувств верующих предусмотрены наказания от штрафа до года тюремного заключения.,entailment
"Сотрудники МЧС извлекли его из воды, после чего мужчина рассказал о подробностях произошедшего. По словам потерпевшего, на него напали выходцы с Северного Кавказа. О причинах конфликта мужчина досказать не успел, так как потерял сознание.",Спасатели оставили мужчину в воде.,not_entailment
"Владельцы сайта быстро завербовали молодого человека, и тот согласился работать.",Молодой человек был завербован быстро.,entailment
"Вопрос платных автомобильных дорог большую часть россиян не волнует, так как они не имеют машин, а среди тех, у кого она есть, каждый пятый не намерен пользоваться такими трассами, показал всероссийский опрос.",Большинство россиян не имеет машин.,entailment
"""Волкова настаивала также на том, что в случае ареста оппозиционеру нельзя находиться в спецприемнике по состоянию здоровья, так как там нет необходимого ему врача. Сам Удальцов заявил в суде, что своей вины не признает. """"В протоколе задержания и в рапортах указаны неверные сведении я действительно был на Болотной площади и выступал на сцене, так как был заявителем шествия и митинга.""",В спецприемнике вообще нет врачей.,not_entailment
"А потом пришел в полицию и все рассказал. Там ответили, что по всем признакам это дело рук опытного мошенника. Как рассказали «Комсомольской правде»-Красноярск в пресс-службе городской полиции, подозреваемого вскоре задержали в ходе проведения оперативно-розыскных мероприятий.",Опытного мошенника так и не смогли арестовать.,not_entailment
"Проект детского сада участвует в программе по субсидированию строительства детских дошкольных учреждений, поэтому финансироваться строительство, вероятно, будет из федерального бюджета.",Федеральный бюджет не станет источником финансирования строительства.,not_entailment
"Обнаруженные предметы направлены для проведения экспертизы. Если эксперты признают их культурными ценностями, то в отношении гражданина будет возбуждено административное дело по факту недекларирования. Поскольку для ввоза их пассажир был бы обязан заполнить декларацию на товары с указанием перемещаемых через границу раритетов.",Обнаружены недекларированные предметы.,entailment
"Мужчина сообщил, что к краже может быть причастна его собственная дочь, у которой был доступ к ключам от сейфа.",Сейф могла открыть дочь.,entailment
"В настоящий момент полицейские взяли в кольцо активистов оппозиции на углу Тверской и Садово-Триумфальной улицы и начали задерживать их. Полицейские затаскивают участников шествия в автозаки. Они призывают освободить проход, чтобы не мешать движению пешеходов, однако это сделать затруднительно, поскольку сотрудники полиции оцепили оппозиционеров и не дают выйти из этого оцепления, в том числе журналистов.",Активисты оказались в кругу друзей.,not_entailment
"Художники очень много путешествуют в поисках красивых, живописных мест, часто выезжают на природу. Пейзажи Дальнего Востока, Хабаровского края по-своему прекрасны – они всегда отличаются особыми красками и светом, подчеркивает заместитель председателя.",Художники всегда много путешествуют.,not_entailment
"Вопрос обсуждается, ясно будет к началу встречи.",Обсуждение вопроса не состоится.,not_entailment
"Когда на место прибыли стражи порядка, то достаточно быстро нашли подозреваемого. Им оказался хороший знакомый потерпевшего. Он признался, что, проходя мимо, не смог удержаться, заметив открытую входную дверь в частный дом.",Открытая дверь в частный дом манила подозреваемого.,entailment
"Поскольку ветеринарное свидетельство признано не действительным, такую продукцию допускать на прилавки или в переработку нельзя.",Эта продукция безвредна.,not_entailment
"В области работает 133 нотариуса, и со всем объемом работы мы справляемся, - отметила спикер. - Больше всего обращений — по наследственным делам, много обращений по обращений с отчуждением недвижимости, где есть несовершеннолетние дети, и по сделкам, где требуют дополнительных документов.",133 нотариусов достаточно для области.,entailment
"Зайдя в один из подъездов, чтобы проверить одного из подопечных, полицейский почувствовал резкий запах дыма из соседней квартиры и услышал за дверью детские крики.",Полицейский зашел в подъезд на детские крики.,not_entailment
"Вообще-то, Владимир Владимирович, вот это слышать обидно и больно. Очень обидно и больно, действительно это так. Потому что именно вы стояли у истоков нашей партии, именно вы ее создавали.","Владимир Владимирович стоял у истоков нашей партии, создавал ее.",entailment
"Он сообщил, что после митинга были задержаны, как минимум, четыре человека. Среди них член КПРФ и помощник депутата Госдумы. Как сообщили агентству в пресс-службе правительства Самарской области, уведомление, поданное организаторами митинга, не было рассмотрено, так как было составлено с ошибками.",Митинг продолжается.,not_entailment
"Не стоит бояться порчи, это люди сами себя плохо настраивают на жизнь.",Люди способны наводить порчу.,not_entailment
"""Пресс-секретарь Владимира Путина Дмитрий Песков подчеркивает, что вопросы президенту РФ Владимиру Путина в ходе встречи с доверенными лицами были составлены на основании пожеланий последних. """"Доверенные лица - это люди, которые вели подготовительную работу к этой встрече и с которыми велась подготовительная работа накануне, многие из них наиболее активно задолго до этой встречи транслировали огромное множество вопросов в администрацию президента, вопросы, естественно, обобщались, суммировались, систематизировались и активно использовались в подготовке к мероприятию"""", - заявил Песков журналистам во вторник. Он подчеркнул, что подобные вопросы используются при подготовке к каждому мероприятию, так как наличие таких вопросов от таких людей """"позволяет чувствовать реальный пульс"""".""",Песков отмел все вопросы.,not_entailment
"""""""А как быть тогда с """"Russia today"""", где у нас работают иностранцы?"""" - спросил он. По словам главы комитета, такого рода решения должны приниматься в рамках редакционной политики телеканалов, поскольку законодатель далеко не все может сделать, отрегулировать.""",Глава комитета предлагает отдать решение на откуп законодателям.,not_entailment
"""""""Я осознанно шел играть по чужим правилам. Я не считаю их (выборы - ИФ) честными, но принял этот вызов"""", - сказал Прохоров в прямом эфире на Первом канале в воскресенье. Он подчеркнул, что пошел на выборы, потому что посчитал важным довести свои взгляды и консолидировать вместе миллионы образованных и честных людей.""","Прохоров сказал, что не считает выборы честными.",entailment
"""""""Я не вижу другого основания скликать правозащитную публику"""". Резник сообщил, что в его приглашении начало встречи указано в 16:30 мск в пятницу. """"Интересно, каким образом будет происходить встреча, поскольку, чтобы попасть в транзитную зону, надо пересекать границу"""".""","Резник рассказал, что написано в его приглашении.",entailment
"""""""Не вижу смысла увеличивать число статей Уголовного кодекса, так как там уже есть меры уголовной ответственности в отношении лиц, которые пропагандируют сепаратизм"""".""","Есть меры уголовной ответственности в отношении тех, кто пропагандирует сепаратизм.",entailment
"Министр отметил, что вопрос сейчас стоит в другом. - Должна вестись системная работа с женщиной и семьей. И я считаю, что уговоры женщин сохранить плод – это, конечно, не репродуктивное насилие, - подчеркнул министр.","Министр за то, чтобы уговаривать женщин сохранить плод.",entailment
"Безусловно, контроль нужен, потому что не существует ни одной возможности это предотвратить.","Что нельзя предотвратить совсем, то нужно контролировать.",entailment
"""Тело рядового К. Аганаса он оттащил к реке и, предварительно облив его бензином, поджег. На вопрос следователя, почему он решил убить вначале рядового Аганаса, а не спящих, Челах сказал: """"Ну, тогда бы часовой спрятался. (...) Потому что он не спящий был, поэтому его первым"""".""",Челлах поджег тело рядового К. Аганаса.,entailment
"""Очевидцы сообщили """"Комсомольской правде"""", что выемка нужных следователям бумаг состоялась в сопровождении людей в масках.""",Люди в масках присутствовали при выемке бумаг.,entailment
"Двое мужчин и две женщины выпивали, когда одному из них, недавно освободившемуся из мест лишения свободы, захотелось любви и тепла. С недвусмысленным предложением он обратился к одной из участниц застолья, однако та отказала в близости. Обидевшись, мужчина схватил нож и решил всех «проучить».",Пьяный мужчина схватил нож.,entailment
"Все необходимые документы сотрудники собирали сами. Незаконно использовали печати разных банков или фирм. Сообщается, что услугами турфирмы пользовались в том числе и организаторы каналов незаконной миграции.",Турфирма делала все по закону.,not_entailment
"Результаты исследований будут готовы 18 января и опубликованы на сайте Управления Роспотребнадзора по Тульской области. Обращаем внимание населения, что необходимо пользоваться только специально оборудованными местами для купания. Людям с сердечно-сосудистыми заболеваниями необходимо соблюдать меры предосторожности, так как во время погружения в холодную воду происходит резкий спазм сосудов, а также соблюдать правила купания (омовения) в холодный период года.",Результаты исследований ожидаются 18 января.,entailment
"Как рассказали «Комсомольской правде» в пресс-службе ведомства, чаще всего люди погибали в огне из-за курения в пьяном виде.",Журналистам рассказали о причинах смерти в пьяном виде.,not_entailment
"И тут у торговой точки заметил мужчину с бутылкой пива в руках. Парень подошел к 62-летнему мужчине, рядом с которым была жена, и потребовал отдать ему пиво, угрожал расправой и достал пистолет. Пару раз он пытался поджечь фитиль в самодельном оружии, но ничего не вышло, так как был сильно пьян.",Парень пытался отнять пиво с помощью самодельного пистолета.,entailment
"Как установило следствие, мужчина, распивая спиртное, поссорился со своим несовершеннолетним сыном.",Мужчина распивал спиртное со своим несовершеннолетним сыном.,not_entailment
"Это грубейший просчет тех, кто проектировал дом, и делал изыскания геологические, почему и произошла эта ситуация. Поэтому сейчас-то где искать этих людей, которые занимались этим вопросом. Хотя автор проекта получил даже государственную премию за него, на то время он считался довольно продвинутым.","Те, кто проектировал дом, слегка просчитались.",not_entailment
"""Трое пострадавших были доставлены в больницу с ожогами разной степени тяжести. """"От полученных телесных повреждений подозреваемый скончался в больнице. Девушка и парень находятся в лечебном учреждении, где им оказывается необходимая медицинская помощь"""".""","Трое попали в больницу с ожогами, двое выжили.",entailment
"Мужчина рассказал, что отмечал с друзьями «старый» Новый год.","""Мужчина рассказал, с кем отмечал """"старый"""" Новый год.""",entailment
"""""""Я попросил их продолжать работу и не снижать темпов, крайне противно было"""", — посетовал глава президентской администрации. """"Ну, терпел. Я не подавал виду, потому что я понимал, что если я начну подавать вид, это приведет к настороженности и попытке замести следы"""", — добавил он.""",Главе президентской администации было крайне противно.,entailment
"При проверке выяснилось, что заказы на «опасный» товар принимаются через интернет.",«Опасный» товар не купишь в Сети.,not_entailment
"""""""Когда в начале 90-х декриминализировали употребление наркотиков, количество наркоманов увеличилось в сотни раз. Эта мера вынужденная и необходимая, во-первых, она декларирует позицию государства, во-вторых, она спасет огромное количество наркоманских жизней и душ"""", - заявил Ройзман """"Интерфаксу"""" в среду. По его словам, предлагаемая инициатива – достаточно мягкая и может быть определена как гуманная, так как предполагается уголовная ответственность за систематическое употребление наркотиков и только тех лиц, которые ранее привлекались к административной ответственности.""",Ройзман сожалеет о декриминализации употребления наркотиков в 90-е.,not_entailment
"Учащийся политехнического техникума, находясь в состоянии алкогольного опьянения, избил, а затем ограбил прохожего. В итоге потерпевший получил многочисленные ушибы и перелом носа, а также лишился пяти тысяч рублей. Как выяснилось позже, подросток, совершивший разбойное нападение, уже имел условный срок по предыдущему приговору.","Ограбленный отделался многочисленными ушибами, переломом носа и потерей пяти тысяч рублей.",entailment
"Но из-за прогноза метеорологов, которые грозятся понижением столбика термометра ниже тридцати, здоровьем пермских учеников решили не рисковать.","В Перми, вероятно, будет тридцать градусов жары.",not_entailment
"Но также в кражу попали украшения, которые он ей не дарил. Свою вину в совершенном преступлении мужчина признал и раскаялся в содеянном. Похищенные украшения он выдал следствию, ущерб полностью возместил.",Мужчина вернул ей похищенные украшения.,not_entailment
"""""""Его основу составят офицеры-черноморцы"""", - сказал В.Чирков, отвечая на вопрос """"Интерфакса-АВН"""". Главком ВМФ отметил, что Средиземноморская группировка будет включать в свой состав корабли Северного, Балтийского, Черноморского флотов и, возможно, Тихоокеанского. Основу группировки составят корабли Черноморского флота, поскольку Средиземное море входит в зону его ответственности, сказал адмирал.""","Средиземноморская группировка будет включать в свой состав Тихий океан, Балтику, Северное и Черное моря.",not_entailment
"Разработчик видеоигр индийского происхождения Шекхар, живущий в Лондоне, пытается привить своему десятилетнему сыну Пратику доброту и мудрость, которыми сам обладает в достаточном количестве. Сын же помешан на всем, что связано с технологиями, и в частности на видеоиграх, и отвлекаться на подобную чепуху не желает. Единственное чего он хочет, так это получить игру с непобедимым злодеем, потому что достиг уже такого уровня профессионализма в играх, что все остальное ему кажется скучным и неинтересным.",Сын разработчика видеоигр хочет получить игру с непобедимым злодеем.,entailment
"После того, как компания «прикончила» очередную бутылку, между подвыпившими разгорелся спор. Закончился он тем, что одна из женщин нанесла мужчине 15 ножевых ранений. - Ссора прекратилась, так как потерпевший самостоятельно покинул дом.",Потерпевший с 15 ножевыми ранениями сам покинул дом.,entailment
"""Это, по данным Генпрокуратуры, является грубым нарушением инструкции, устанавливающей условия и основания объявления в международный розыск, утвержденной совместным приказом МВД, Минюста, ФСБ, ФСО, ФСКН и ФТС РФ. """"В связи с этим Генпрокуратура РФ направила на имя председателя СК РФ Александра Бастрыкина требование об устранении выявленных нарушений. Это сделано повторно, поскольку первое аналогичное требование, направленное ранее, выполнено не было"""", - говорится в пресс-релизе.""",Первое требование устранить выявленные нарушения выполнено не было.,entailment
"""""""Росатом"""" рассматривает возможность строительства новых энергоблоков на АЭС """"Бушер"""" в Иране, иранская сторона уже высказывала подобное предложение, сообщил глава """"Росатома"""" Сергей Кириенко. """"Мы прорабатываем, соответствующее поручение у нас есть. Поскольку строительство именно атомных энергоблоков не вызывает сомнения у международного сообщества, никаким образом не относится к вопросам чувствительным, поэтому это возможно.""",Строительство атомных энергоблоков угнетает мировое сообщество.,not_entailment
"Это грубейший просчет тех, кто проектировал дом, и делал изыскания геологические, почему и произошла эта ситуация. Поэтому сейчас-то где искать этих людей, которые занимались этим вопросом. Хотя автор проекта получил даже государственную премию за него, на то время он считался довольно продвинутым.",Автора проекта этого дома наградили.,entailment
"В связи с этим спасатели просят вологжан воздержаться от дальних походов и без необходимости не выходить на улицу, особенно это касается маленьких детей. В случае сильных обморожений необходимо обращаться к врачу. Кроме того, следует соблюдать особенную осторожность при эксплуатации печей и обогревателей, так как при такой погоде вырастает число пожаров, связанных с их работой.",Вологжанам могут грозить обморожения.,entailment
"""Отношение к этому фильму – как у профессора, который экзаменует главную героиню. Она вышла отвечать первая и рискует заговорить об очень неожиданных (для нее) вещах. Копнуть, задать каверзный вопрос – провалится, но профессор этого не делает, потому что рад, что хоть кто-то из студентов заговорил о том, чего никто из этих студентов знать – не """"не мог"""", а """"не захотел"""", """"не имел повода"""".""",Студентка порадовала профессора.,entailment
"От полученных травм он скончался на месте. Подсудимые, как выяснили следователи, знали о давности установки опоры, но не предприняли никаких действий. - Они не только небрежно отнеслись к своей работе, но и нарушили требования охраны труда.","Подсудимые небрежно отнеслись к своей работе, и человек расстроился.",not_entailment
"""Как именно - остается загадкой следствия. В правоохранительных органах рассказывают лишь о малой части тех мероприятий, что проводятся по уголовному делу. Как стало известно """"Комсомолке"""", ориентировки с приметами девушки вскоре после ее исчезновения полицейские разослали в соседние регионы.""",Девушка уехала в соседний регион.,not_entailment
"Потерпевший рассказал, что в результате бытовой ссоры его грозил убить кухонным ножом собственный сын.",Потерпевший никогда не ругался с собственным сыном.,not_entailment
"Правда, некоторые даже не подозревают, что на них что-то висит.",Некоторые подозревают что на них что-то висит.,entailment
"Губернатор осмотрел дома, куда заселят работников.",Губернатор осмотрел будущее жилье для работников.,entailment
"""Быстро через пустяковый, прореженный собравшимися коридор между полицейским кордоном и многотысячной людской пробкой, заканчивающейся у самой сцены, шел Илья Найшуллер, режиссер и музыкант, лидер группы Biting Elbows. Он, как и большинство встреченных мною, был и на Болотной площади - тогда точно также фотографировал митингующих, а после активно призывал прийти в Facebook - """"всех, кто готов был меня слушать"""". """"Потому что что-то не так, это очевидно"""".""",Илья Найшуллер был и на Красной площади.,not_entailment
"""Краснодарский краевой суд в понедельник принял решение о рассмотрении уголовного дела банды Сергея Цапка из станицы Кущевская с участием коллегии присяжных, сообщила адвокат потерпевших Екатерина Романова. """"Судом вынесено решение о рассмотрении дела с участием присяжных"""", - сказала адвокат журналистам. Она отметила, что защита потерпевшей стороны поддерживает это решение, поскольку """"это всегда лишние глаза"""".""","Адвокат потерпевших уверена, что в рассмотрении дела потребуются лишние глаза.",entailment
