text,label,error_type,curated_score,compressed_score,diversity_score
На стене справа висела картина.,1,0,2,2,0.0606
Альфред любит современную музыку.,1,0,2,2,0.098
Последующие события подтвердили мне его правоту.,0,Semantics,3,3,0.0581
Мальчишка схватился за кувшин и жадно принялся пить.,1,0,2,3,0.0896
Он берет уроки русского языка.,1,0,2,2,0.0772
Одна женщина подарила яблоко мальчику.,1,0,1,1,0.0918
Если хочешь быть услышан в мире – пой по-английски.,1,0,2,4,0.0928
"Отдыхая в кресле, передо мной висит картина ""Март"".",0,Syntax,2,5,0.0844
Кто находил мой кошелек?,1,0,3,3,0.0665
Советую вам обратиться к врачу.,1,0,3,3,0.0582
Этот сильно был очень тяжелым.,0,Syntax,3,3,0.0341
Я позвоню тебе сегодня или завтра.,1,0,2,2,0.0693
"Его инаугурация в качестве первого исполнительного президента СССР, десятая также его Нобелевская премия мира.",0,Syntax,2,4,0.1157
Они каждый день разжигают костер.,1,0,2,2,0.0958
Я люблю отдыхать на Черном море.,1,0,2,2,0.0929
Она покупает несколько квартир.,1,0,2,2,0.0923
Я испугался громкого стука в дверь.,1,0,3,4,0.0653
"Он давно пришел, а потом ушел.",0,Semantics,0,0,0.0571
На его газоне благоухают розы.,1,0,2,2,0.0794
Через два дня я еще не буду в Москве.,1,0,1,4,0.0658
Через некоторое время эта сцена исчезла.,1,0,2,2,0.0832
После этого рыба обжаривается хозяйкой.,0,Syntax,1,4,0.0918
"Я уверен, что он наверное прав.",0,Semantics,3,3,0.0235
У нас нет каких бы то ни было.,1,0,3,4,0.065
Я не застал Машу у себя.,1,0,3,4,0.0656
Я считала его твоим другом.,1,0,2,4,0.0656
"Он пошел к брату, чтобы узнать что-нибудь о случившемся.",1,0,3,3,0.0613
Маша и Саша читают книгу.,1,0,2,2,0.0314
Один случай внезапно подтверждает мои догадки.,0,Semantics,3,3,0.0506
Магазин в два часа закрыт.,1,0,3,3,0.0683
"Я открыл окно, чтобы комната проветрилась.",1,0,2,4,0.0513
Всю следующую неделю я сижу дома.,1,0,2,2,0.0704
Целыми днями смотрит в окно.,1,0,1,3,0.0749
"Потом пожалел, что не взял собаки.",1,0,2,3,0.0733
Рядом с местом стула лежал коврик.,0,Semantics,2,2,0.063
Унас редко есть занятия по истории.,0,Semantics,2,3,0.0799
Здесь мы сталкиваемся с совершенно новой проблемой.,1,0,2,3,0.0676
В этой реке много рыбы.,1,0,1,2,0.0449
"Вообще-то он в комнате, но сейчас он вышел.",0,Semantics,3,3,0.0639
"Все заметили по краске ее лица и по живости речи, что она была сердита.",1,0,2,4,0.0782
Пушкин родился в 1799 году.,1,0,2,2,0.1181
В 1973 г. США временно прекратили свои боевые операции в юго-восточном регионе.,1,0,2,2,0.1275
Решить задачу удалось не всем.,1,0,3,4,0.0564
Откуда-то сверху гудит колокол.,1,0,3,4,0.0706
Она была в стороне от всяких интриг.,1,0,3,3,0.0452
Он сидел недалеко от меня в большом мягком кресле.,1,0,2,2,0.0605
"Пойди, докажи ей что-нибудь!",1,0,2,2,0.0677
Клюква не растет на дереве.,1,0,1,2,0.0924
Он сейчас не спит на диване.,1,0,2,2,0.071
Он не заехал ни разу.,1,0,2,4,0.0577
"Иван очень обрадовался, когда я поступил в институт.",1,0,3,3,0.0509
"Было в ней и изящество, и скромность, и достоинство.",1,0,3,3,0.0472
Тебе лучше сначала спросить его.,1,0,2,2,0.0778
"Ты когда-нибудь замечал, что он странно себя ведет?",1,0,3,4,0.0618
Сообщение не обидело Марию.,1,0,2,2,0.0613
Он располнел и постарел.,1,0,2,3,0.0659
Эта женщина обращает на себя внимание.,1,0,2,3,0.0729
Он изменился в лице.,1,0,3,4,0.0647
"Вася сказал, что у него что-то для меня есть.",1,0,3,3,0.0601
"Тут на дороге показался я, и он спрятался в кусты.",1,0,3,4,0.0693
"Виктор выручил меня, сказав, что я в отпуске.",1,0,2,4,0.0768
Они провели вечер очень весело.,1,0,2,2,0.0777
"Так как идет дождь, мне лучше вернуться домой.",1,0,2,2,0.0781
Он еще не вернулся.,1,0,2,2,0.0584
Этого письма он не написал.,1,0,3,3,0.0604
"Я всегда получаю удовольствие, когда она поет.",1,0,2,2,0.0889
Коля находил свой ключ.,1,0,2,2,0.0706
"Он, я думаю, согласится.",1,0,2,3,0.0403
Ивану удалось попасть на концерт Макаревича.,1,0,3,4,0.0659
"Иван прилег, чтобы отдохнул.",0,Syntax,3,3,0.0625
"Возможно, что учитель поставил три двойки.",1,0,2,4,0.0791
Много детей наплавало в бассейне.,0,Syntax,2,4,0.0872
В этой реке есть много рыбы.,0,Semantics,1,1,0.0443
Она выполняет первую половину вашего задания.,1,0,2,2,0.0806
В этом дворе есть сторожевая собака.,1,0,2,2,0.0648
"Стихотворный размер стихотворения относится ко временам язычества (эпохи средневековья), но в его основе лежит глубокий религиозный смысл.",1,0,2,2,0.0975
Моя мама ненавидит смотреть телевизор.,1,0,2,2,0.1055
"Он говорит, что не собирается идти.",1,0,3,3,0.0712
Я поздоровался с ней первой.,1,0,3,3,0.07
Она смотрит на него и становится бледной.,0,Semantics,2,4,0.0511
Он улыбнулся мне вблизи.,0,Semantics,2,4,0.0511
Иван почти закончил диссертацию.,1,0,3,4,0.0645
"У нас есть точные данные, что они знали все это.",1,0,3,3,0.0639
"Он чувствует, что ему, кажется, придется уезжать.",0,Semantics,3,4,0.0576
Она приняла его в своем кабинете.,1,0,3,3,0.0642
Солдаты грелись вблизи костров.,0,Semantics,3,4,0.0471
Лейтенант-коммандер Ходжкинсон отдал приказ быть готовым к взлету.,1,0,3,4,0.0654
В прошлом месяце я болел.,1,0,2,2,0.0712
"Как ты хочешь, чтобы я поступил ?",1,0,3,3,0.0642
"Поймите же, что у нее есть талант.",1,0,3,3,0.0573
Она готова помогать кому угодно.,1,0,3,3,0.0585
Он сидел за своим письменным столом и работал.,1,0,1,1,0.0761
Знакомых никого в ней не жило.,1,0,3,4,0.0673
Всё это я не знал.,1,0,1,1,0.0515
Он оговаривает это в примечании.,1,0,1,4,0.0706
Иван порадовал нас своим возвращением.,1,0,2,2,0.063
Он сажает все деревья в том саду.,1,0,2,3,0.0783
Ты неправильно решил задачу.,1,0,2,2,0.0683
Он близко наклоняется к ней и с улыбкой говорит ей что-то.,1,0,3,4,0.0603
"Поймите же, что у нее талант.",1,0,3,4,0.0577
Мне этого заранее не сказали.,1,0,1,2,0.0684
Я отдаю книгу сестре.,1,0,3,3,0.0644
Он должен успеть на поезд.,1,0,2,2,0.0612
"Когда ты позвонил, я не читал твоей статьи.",0,Syntax,2,3,0.0633
Диктат традиций оказался очень силён.,1,0,2,3,0.0973
Ты гулял с собакой?,1,0,2,2,0.0748
Есть бассейн в заливе Ларгс под названием Лефевр Портсайд Пляжный центр.,1,0,1,1,0.1039
У нас редко бывают занятия по истории.,1,0,2,2,0.0758
А где же Ваша жена?,1,0,2,3,0.0804
"Все, что Том делает, это смотреть телевизор.",0,Syntax,1,4,0.0872
Очки лежали возле книги.,1,0,2,3,0.0571
В мире много зла.,1,0,2,2,0.0848
Она часто бывает у кого-нибудь из своих друзей.,1,0,3,3,0.0548
Они стояли довольно рядом.,0,Semantics,3,3,0.0573
Он отличался большими способностями среди своих сверстников.,1,0,3,3,0.0527
Иван пошел на концерт.,1,0,3,3,0.065
"Я думаю, что лучше поехать с тобой.",1,0,2,2,0.0706
Иван дал обещание самому встретиться с нами.,0,Syntax,3,4,0.048
"Возьми с меня шляпу, она мне мешает.",0,Semantics,3,4,0.0574
"Ум мой бессознательно отказывался выводить какие-либо заключения из того, что я видел.",1,0,3,3,0.0704
"Он сказал Дуне, что живет в Сан-Франциско.",1,0,2,2,0.0792
Он всегда обедает с кем-нибудь из своих друзей.,1,0,1,3,0.0905
"Любой знает, что волки жадны.",1,0,2,2,0.0811
Окна гостиницы выходят на юг.,1,0,2,3,0.0868
Я подарю ей эти книги.,1,0,2,2,0.0472
В этой реке масса рыбы.,1,0,2,3,0.0469
В его воображении существовало какое-то наследство.,1,0,3,4,0.0698
Я принял его в свою группу.,1,0,2,2,0.0523
"Министр пригласил журналистку, взять у него интервью.",1,0,3,4,0.0158
Мне бросилась в глаза его бледность.,1,0,3,4,0.062
Достань из моего стола тезисы докладов и дай Ивану Сергеевичу.,1,0,2,3,0.0678
Солнце посветило и зашло за тучу.,1,0,2,4,0.0781
Окно было открыто пятнадцать минут.,1,0,3,3,0.0697
Мы встречались с ней в два часа.,1,0,2,2,0.0692
Любой человек всегда чем-то лучше кого-то другого.,1,0,2,4,0.0838
По возвращению в Петербург Толя отказался ехать домой сразу из аэропорта.,0,Syntax,2,4,0.1071
Его обувь не нужно ремонтировать.,1,0,2,3,0.0772
Я достал из кошелька деньги и подал продавцу.,1,0,3,3,0.0499
Иван не порадовал нас своим возвращением.,1,0,2,4,0.0673
"Значит, мы с тобой условились?",1,0,3,4,0.0707
Я совершенно не представляю себе этого человека.,1,0,3,3,0.0603
Горы поражают своим величием.,1,0,2,3,0.0656
Ты когда-нибудь плыл на байдарке?,0,Semantics,2,4,0.0919
"Назареи (секта, I век) - христианская секта древних иудеев.",1,0,2,4,0.1277
Она назначила мне встречу.,1,0,3,3,0.0549
"Я думаю, что вы сидите на моем сиденье.",1,0,3,3,0.0709
Кошка не ест ветчину.,1,0,2,2,0.0914
Во вторник он еще не подал заявление.,1,0,2,2,0.0872
"О соседках Васин сообщил, что живут они здесь недели с три.",1,0,2,4,0.0999
Следующий довод опровергает его утверждение.,1,0,2,2,0.0817
Он выбирал сотрудницу по внешности.,1,0,3,4,0.0662
Я разбирал одно похожее дело в прошлом году.,1,0,2,2,0.0716
"Министр пригласил журналистку, дать ей интервью.",0,Syntax,3,4,0.014
"У.Журналисты были приглашены министром, чтобы сделать заявление об отставке.",1,0,3,3,0.0659
"После этого все серии первого сезона стали показываться на телеканале BBC 2, начиная с 9.11.04.",1,0,2,3,0.1165
Он удивил меня своим поведением.,1,0,2,3,0.0358
Перед домом есть пруд.,1,0,2,2,0.0798
Отказ от игры роняет Фишера в глазах шахматистов.,1,0,3,3,0.0689
"В 1708 году Пётр I, чтобы упростить начертание букв русского алфавита, поэтому ввёл гражданский шрифт.",0,Syntax,2,5,0.1246
Из этого материала мы получим красивые платья.,0,Semantics,2,4,0.0872
У меня есть гордость.,1,0,1,2,0.0741
"Он сказал, что идет дождь и что поэтому мы останемся дома.",1,0,2,2,0.0838
Недалеко от него сидит молоденькая девушка и читает какую-то книгу.,1,0,2,2,0.0667
"В обучении в школе есть свои плюсы, да даже возраст, когда мы там учимся, наибольше беззаботный.",0,Morphology,2,3,0.0826
Поселок расположен вдалеке от реки.,0,Semantics,2,4,0.0512
Все три дня она провела возле Белого дома.,1,0,2,2,0.1104
"Иван не жалеет, что поехал на конференцию в Марокко.",1,0,2,2,0.0815
В моем кошельке есть много денег.,1,0,2,2,0.0361
"Иван прилег, чтобы он отдохнул.",0,Syntax,3,3,0.0619
Он объяснил отсутствие жены болезнью.,1,0,2,4,0.0794
У меня есть одна хорошая портниха.,1,0,2,3,0.0858
Он сел возле нее и взял ее за руку.,1,0,2,2,0.0556
"Она долго бежала вдоль забора, а потом повернула налево.",1,0,1,3,0.0774
Никто его не видел.,1,0,2,2,0.0546
У меня возникло сомнение в истинности его слов.,1,0,3,4,0.0528
Он плотно захлопнул дверь.,0,Semantics,2,4,0.0576
"Воображаю, как она удивилась.",1,0,3,3,0.0554
Том унес свой секрет в могилу.,1,0,2,2,0.0999
Аварии не имело места.,0,Semantics,3,3,0.0689
"Девочки, давай зайдем в магазин!",0,Syntax,2,2,0.0904
Они стояли у обрыва и смотрели вниз.,1,0,2,2,0.0871
"Том сказал мне, что боялся.",1,0,3,3,0.066
Я принял его в свою лабораторию.,1,0,3,3,0.0611
Мама идет с рынка.,1,0,2,2,0.0969
"Он много путешествовал, плавал далеко от родных берегов.",1,0,2,2,0.0738
Всю молодость она была красива.,0,Semantics,3,3,0.0646
Я взял ручку двери.,0,Semantics,3,4,0.0607
В это время мы сидели за столом и обедали.,1,0,1,3,0.0603
"В 1938 году 17летняя Сотирия встретила своего мужа, кондуктора автобуса.",1,0,2,3,0.1266
Я позвал Машу и Петю.,1,0,2,2,0.0616
Его шерсть приняла красивый ореховый оттенок.,1,0,2,4,0.0827
На небе появились тучи.,1,0,1,2,0.0661
"Даже если младенец крепко спит за два часа, обычно случаются кратковременные пробуждения.",0,Semantics,2,4,0.1017
Короткий коридор сразу же сворачивает направо.,1,0,2,2,0.0857
Не все хотели решать задачу.,1,0,3,3,0.0626
"В 1863 году ботаник Александр Кроалл был назначен первым библиотекарем и куратором, а в следующем году музей и библиотека объединились.",1,0,2,2,0.1104
"Каждый знает, что волки опасны.",1,0,0,2,0.081
Я взял за работу 10 рублей.,1,0,2,3,0.0473
Она медленно становится бледной.,0,Semantics,3,3,0.0659
Он не должен успеть на поезд.,1,0,2,4,0.0641
"На конференцию, которая проходила в Москве, прибыли триста один участник из всех регионов России.",0,Syntax,2,4,0.0982
Он сел рядом с ней и стал ей что-то оживленно говорить.,1,0,2,3,0.0593
"Она сразу вспомнила, что в мире есть радость.",1,0,2,2,0.0709
"Такой дискомфорт может привести к тяжёлым последствиям, вплоть до депрессии.",1,0,2,2,0.0901
В прошлом году я два месяца лежал в больнице.,1,0,2,3,0.0788
В понедельник он не приехал.,1,0,2,2,0.0707
Отец еще остался на работе.,1,0,2,2,0.0695
"Я думаю, что мы можем к нему зайти.",1,0,3,3,0.0493
Должен ли мы позвонить ей?,0,Syntax,2,5,0.0763
Он дал этот концерт в честь своего учителя.,1,0,2,3,0.0903
Сегодня в овощном были только яблоки.,1,0,2,4,0.0771
Отца не было на море.,1,0,2,4,0.0496
Встретимся около рыбного магазина рядом с метро «Университет».,1,0,2,2,0.0885
"Я думаю, что фотографии говорят сами за себя.",1,0,2,2,0.0949
Я ему об этом писал.,1,0,2,2,0.051
Ивану удалось устроиться на работу.,1,0,2,2,0.0699
Телевизора не было в мастерской.,1,0,3,4,0.0661
"Посмотри, какое я письмо от старосты получил, да реши, что мне делать.",1,0,2,2,0.085
С полки упал чайник.,1,0,1,1,0.0986
Ивану не удалось попасть на концерт Макаревича.,1,0,3,3,0.0607
У нас завтра будет что-то.,0,Syntax,3,3,0.0548
Он промахнулся в окно бутылкой.,0,Syntax,1,4,0.09
У меня дома есть эта книга.,1,0,1,1,0.0534
Покупаю мяса нам на обед.,1,0,1,1,0.0791
На работе он застал только секретаря.,1,0,2,4,0.0817
Мы сейчас проехали Аникеевку.,1,0,3,4,0.0713
"Ты считаешь меня ничтожеством, я в твоих глазах влюбленный студент, которого приятно держать около себя.",1,0,2,3,0.0872
"Светит солнце, но все-таки холодно и но все-таки не хочется идти гулять.",0,Syntax,2,2,0.067
"Вдруг они заметили, что он остановился.",1,0,3,3,0.0699
Иван читал статью Петра о себе.,1,0,3,3,0.0702
В последнее время он спал.,0,Semantics,1,1,0.0597
Они селились у больших рек.,1,0,2,2,0.0883
Поздравляю с днём рождения и желаю долгих лет жизни!,1,0,1,2,0.0914
Ты давно не был в Москве.,1,0,2,2,0.0514
Он научился быстро решать эти задачи.,1,0,2,3,0.0532
Я знаю это от Ивана.,1,0,3,3,0.066
"Я очень боялся, чтобы меня нечаянно не приняли за кого-нибудь.",1,0,3,5,0.0669
Тяжелые мне минуты сомнения.,0,Semantics,3,4,0.0698
Возьми какую-нибудь из этих тетрадей.,0,Semantics,2,2,0.0664
Он чуть ли не гением себя считает.,1,0,3,4,0.0664
Ты не должен ей помочь.,0,Semantics,2,4,0.0593
"Когда я вышел, он запер дверь.",1,0,2,2,0.0535
"Он воображает, что его примут.",1,0,1,4,0.0571
"Я был совсем рядом с ее домом, но к самому дому меня не пропустили.",1,0,2,4,0.0608
"День города, котором я живу в.",0,Syntax,2,4,0.0958
Статей не было прочитано.,0,Syntax,2,3,0.0527
Эта новость меня огорчила.,1,0,2,3,0.0622
Его приняли в общество охраны памятников старины.,1,0,2,4,0.0885
Ты не обязан ей помогать.,1,0,2,3,0.0583
В Белоруссии либеральных газет не осталось.,1,0,2,4,0.1148
"Я начал читать и зачитался так, что, к огорчению взрослых, почти не обращаю внимания на нарядную ёлку.",0,Syntax,2,4,0.0942
Канава отделила нашу ферму от соседней.,1,0,2,2,0.0898
"Подожди, я заканчиваю письмо.",1,0,2,3,0.0644
"Иван войдя, он поздоровался.",0,Syntax,2,4,0.0742
"Мальчик, ушедший было вперед, медленно возвращался к Арсению.",1,0,0,4,0.0979
Новый информационный ресурс набирает популярность.,1,0,2,2,0.0865
Солдаты грелись у костров.,1,0,3,3,0.0508
Отец подарил брату книгу.,1,0,2,2,0.0761
Он раздражен по любому поводу.,0,Semantics,3,3,0.0462
Я выбрал тему диплома.,1,0,2,2,0.0856
Он живет в двухэтажном доме на тихой лондонской улице возле Риджент-парка.,1,0,2,4,0.0954
"Маша читает книгу, и Саша читает книгу.",1,0,2,2,0.0293
Афанасьевна и Софья стояли невдалеке и слушали.,0,Semantics,3,3,0.0702
Где он дал согласие быть прописанному?,0,Syntax,2,5,0.0738
"Он воображает, что все знает об этом.",1,0,2,2,0.0596
Вы пила лекарства?,0,Syntax,2,4,0.0958
"Это, но никто не отозвался.",0,Syntax,3,4,0.0687
Я был огорчен этой новостью.,1,0,2,2,0.0611
"Среди сотрудников нашего института есть такие, которые отдыхали на юге.",1,0,2,3,0.0825
Я опаздываю на концерт.,1,0,2,2,0.0807
Я встречаюсь с приятелями.,1,0,2,2,0.0553
Он нас долго не замечал.,1,0,3,3,0.0624
Он пришел откуда-то изблизи.,1,0,1,3,0.043
Он отдал ей свое сердце.,1,0,1,1,0.059
Он делает три шага к стене.,1,0,2,2,0.0934
В библиотеке всегда кто-нибудь сидит.,1,0,0,3,0.0714
Я не обвиняю его в жульничестве.,1,0,3,3,0.0669
Частная коллекция — предмет гордости её обладателя.,1,0,2,4,0.0833
Я выпивал по более пяти бутылок в день.,0,Syntax,2,4,0.0962
Я люблю его как брата.,1,0,3,3,0.0695
Они читали жалобы на себя.,1,0,3,3,0.0647
Ты показал ей это письмо?,1,0,3,3,0.0714
Иван прождал ее два часа.,1,0,3,4,0.071
Эта местность получила название Панония.,1,0,2,3,0.0998
Существует более одного решения для этого пузыря.,0,Hallucination,2,2,0.1019
Она часто видится с кем-то из них.,1,0,3,3,0.0563
Она имела его врагов.,0,Semantics,3,3,0.0593
Мне дали эту работу на рецензию.,1,0,2,2,0.058
"Никсон заявил, что сожалеет о том, что он не знал о действиях своих подчиненных.",1,0,2,4,0.1188
Я ощущаю запах гари.,1,0,3,3,0.06
Он имеет положение в обществе.,1,0,2,4,0.0698
Девочка опять стояла у окна.,1,0,2,2,0.0853
Она работает в телефонном центре.,1,0,2,2,0.0849
Я не должен привыкать.,1,0,2,4,0.0892
"Том точно не знает, где живет Мария.",1,0,3,3,0.0698
"Я подозреваю, что его обманывают.",1,0,3,4,0.0594
Профессор решил поехать на дачу к своей сестре.,1,0,2,2,0.1053
У него был какой-то необъяснимый страх перед этим человеком.,1,0,3,3,0.0463
"Если он может решить все задачи,у него выдающиеся математические способности.",1,0,3,3,0.0645
Не благоухает больше роз на его газоне.,1,0,2,5,0.0934
"Смотри, они начали ставить палатку.",1,0,2,2,0.0895
У дивана стоял маленький журнальный столик.,1,0,2,2,0.0747
На лекции присутствовал Иванов.,1,0,2,2,0.0615
Ко мне приехали родственники.,1,0,0,0,0.0582
Он дал мне удар.,0,Semantics,3,3,0.056
"Он сидел в кресле, а рядом с ним стояла недопитая бутылка вина.",1,0,3,4,0.0678
Дорогие он видел машины.,0,Syntax,1,3,0.0746
Звенела музыка в саду.,1,0,2,2,0.0858
Жалобы этой женщины мне надоели.,1,0,3,3,0.0678
Он взял за поручень.,0,Semantics,3,3,0.0608
"Я не надеюсь, что он уедет.",1,0,1,3,0.0645
"Писатель пригласил журналистку, чтобы взять у него интервью.",0,Syntax,3,4,0.0386
"Расположен в городе Ниш, Крвени-Крст.",1,0,2,2,0.1241
"Министр пригласил журналистку, чтобы взять у него интервью.",0,Syntax,3,3,0.0152
Иван не попал на выставку.,1,0,2,3,0.0681
Меня не оказалось дома.,1,0,0,3,0.0636
Она кажется отсюда такой молодой!,1,0,2,3,0.0742
"В 9.15 слушайте рассказ Гайдара ""Дым в лесу"".",1,0,2,2,0.1172
Они грелись вблизи костров.,0,Semantics,2,2,0.0499
"В Риме умер один из величайших художников нашего века, мой соотечественник Орест Кипренский.",1,0,2,3,0.1265
"Она сидела рядом с мужем, слегка прижимаясь к нему.",1,0,2,3,0.0679
Я не хочу стричь волосы.,1,0,2,2,0.0915
"Вы республиканец, но я демократ.",1,0,2,2,0.1053
Вечной красою сияет природа и удивляет нас своим величием.,1,0,2,3,0.083
"Я думаю, что ты несомненно прав.",1,0,1,1,0.0413
"Теперь я понимаю, как ей тяжело.",1,0,2,4,0.0697
Я получила эту книгу в подарок.,1,0,3,3,0.0464
Они решили одни распоряжаться.,1,0,3,3,0.0661
"Нет, мой брат не дома.",1,0,2,2,0.068
До него эти звуки не доносятся.,1,0,3,4,0.0576
Она сегодня кого-то ждет.,1,0,3,4,0.0703
Можно не ходить на концерт.,1,0,2,2,0.0875
"Вчера купили Вася книгу, а Коля компакт-диск.",1,0,3,3,0.0648
Эти студенты — сами специалисты в эскимосском языке.,1,0,3,3,0.0273
"Скрою, он мне понравился.",0,Semantics,2,4,0.0568
"Он прав, я понимают.",0,Semantics,2,5,0.0362
С вершины горы будет открываться прекрасный вид.,1,0,2,4,0.0689
Отец никогда не был в Москве.,1,0,1,1,0.0799
Он был в полном отчаянии.,1,0,1,1,0.0448
Телевизора нет в мастерской.,1,0,3,3,0.0698
"Напомни мне, позвонить Саше.",1,0,3,4,0.0707
В США построен кинокинотеатр после первой мировой войны.,0,Syntax,2,2,0.1182
"Добравшись до места назначения, у нас было достаточно времени для приготовления ужина.",0,Syntax,1,3,0.0771
"Каждое утро подается марокканский завтрак, а местные блюда можно съесть на террасе, на террасе или в традиционной гостиной.",1,0,2,2,0.0958
"Я уверен, что он возможно прав.",0,Semantics,3,3,0.0274
Премьера этого реалити-шоу состоялась на ABC 19 марта 2013 года.,1,0,2,3,0.1232
Пришлось кого-нибудь попросить помочь.,0,Semantics,3,3,0.0599
"Уверен, что завтра что-нибудь не случится.",0,Semantics,3,4,0.0695
Букинист с особой целью продал книгу студенту.,1,0,3,3,0.0292
"Эти 7 вопросов задает инспектор, чтобы подловить на ошибке всех водителей – как реагировать и что отвечать?",1,0,2,4,0.1298
"Вчера у меня была Маша, и я отдала ей все деньги, которые у меня были.",1,0,2,2,0.0684
"Одна из учениц нашей Школы, московская школьница Светлана Архипова, установила рекорд скорости чтения ― 60 тыс. знаков в минуту зарегистрированный в российской Книге рекордов Гиннесса.",1,0,2,2,0.1147
"Иван не знает, что она приехала.",1,0,1,3,0.0416
В понедельник в Бостоне шел дождь.,1,0,1,2,0.0951
Платье у бедер слегка расширяется.,1,0,2,4,0.0872
Они попели песни у костров.,1,0,2,2,0.0666
Реакция журналов и фанатов была очень хорошей!,1,0,2,2,0.0892
Вымой руки и накрывай на стол!,1,0,2,4,0.0961
До провозглашения независимости Ливии (1951 год) Триполи был одним из центров национально-освободительной борьбы.,1,0,2,4,0.1259
"Я думаю, он согласится.",1,0,2,2,0.0414
В офисе компании нам предоставили всю необходимую информацию.,1,0,2,2,0.0812
"Иди, а то Иван скажет, что ты заставил его ждать.",1,0,3,4,0.0676
На дороге показался я.,0,Semantics,3,4,0.0523
В углу комнаты — бывший камин и бронзовые часы на нём.,1,0,2,4,0.0896
"Жестокая, почти невыносимая боль пронзила его тело.",1,0,3,4,0.07
Рыба изобиловала в реке лососем.,0,Syntax,3,4,0.0592
Когда вы в последний раз были в зоопарке?,1,0,2,2,0.1039
"Все разбежались, когда началась гроза.",1,0,1,3,0.088
Солдаты грелись поблизости от костров.,0,Semantics,3,3,0.0458
В эту минуту роман был прочитан.,0,Semantics,3,4,0.0589
"Маша читает, и Саша читает книгу.",1,0,3,3,0.028
"Кто написал ""Войну и мир""?",1,0,0,2,0.0948
Наиболее интересные из них связаны с туризмом.,1,0,2,3,0.0941
Пожарной команды не появилось.,0,Semantics,3,4,0.0701
У тебя есть с кем посоветоваться?,1,0,3,5,0.0603
В это время у соседей послышался шум.,1,0,3,4,0.0641
Ты должен взять любую из этих книг.,0,Semantics,3,4,0.0631
"Я запросил 10 рублей, и он мне дал.",1,0,2,3,0.0393
"Добавлю, что он, возможно, вообще откажется.",1,0,2,4,0.0647
Ты находил свои ключи?,0,Semantics,3,3,0.0621
Его взяли в наш институт.,1,0,3,3,0.0597
Мы благодарны за вашу помощь.,1,0,2,3,0.0755
Он сейчас спит в течение некоторого времени.,0,Semantics,1,3,0.0609
Я удивился его приходу.,1,0,2,4,0.0347
"Я не мог поверить, что этот ужасный человек и есть я.",1,0,3,4,0.0638
Я взял деньги у сестры.,1,0,2,3,0.0667
"Ваши данные не просто данные, это ваши семейные фотографии, ваши финансовые документы, ваша музыка – ваша жизнь.",1,0,2,4,0.1051
"Наша дивизия была довольно глухая, стоявшая вдали и от Петербурга и от Москвы.",1,0,2,4,0.0925
В то время у меня был друг.,1,0,2,2,0.0584
Завтра я буду ему звонить.,1,0,2,2,0.0619
В прошлом году я лежал в больнице МПС с воспалением легких.,1,0,3,4,0.0714
Мама забрала меня в парк.,1,0,2,3,0.0972
Он никогда не поет.,1,0,2,3,0.0909
Среди моих студентов есть способные.,1,0,3,3,0.0507
В результате этого он получил оспу.,0,Semantics,3,3,0.0707
Я хочу купить учебник по физике.,1,0,2,2,0.0855
На веранде имеется кресло –– ты можешь отдохнуть.,1,0,2,3,0.0792
"Несколькими яркими, красочными мазками художник изобразил разбежавшуюся по лужайке детвору.",1,0,2,4,0.1003
Я стою прямо рядом с вашим домом.,1,0,3,3,0.0704
Никогда я на Камчатке не был.,1,0,2,3,0.0962
Он стоял совсем близко от меня.,1,0,1,3,0.0343
"На спектакль в каком театре пришел Иван, несмотря на головную боль?",1,0,3,3,0.0331
Иван не был дома и месяца.,1,0,3,4,0.0614
Вы уже совсем здоровы.,1,0,2,4,0.0798
Он существует в Киеве.,0,Semantics,2,4,0.0814
"Станцию метро ""Комсомольская"" построили рядом со снесенным взрывом зданием 1С к северу от Тольятти.",1,0,2,4,0.1223
"Иван сказал, что он заболел.",1,0,1,1,0.0578
"Те, кто читал роман Л. Н. Толстого «Война и мир», помнит описание Бородинского сражения.",0,Syntax,2,4,0.0938
Тот камень имеет форму книги.,1,0,2,2,0.0783
"Ей снится, что будто бы она идет по снеговой поляне, а вокруг птицы чудные летают.",0,Syntax,2,4,0.0912
"Неведомая сила, казалось, привлекала его к нему.",1,0,3,4,0.0614
Он жил в одном из переулков около Арбата.,1,0,1,3,0.0859
Миша и Коля купили вчера книгу.,1,0,3,3,0.0658
Стаканы есть в шкафу.,1,0,3,3,0.0629
"Я наконец решился и задал ему вопрос: ""С кем ты виделся и беседовал в чем?""",0,Syntax,3,4,0.0636
Я гулял уже полчаса.,1,0,3,3,0.0582
Они попели песни около костров.,1,0,2,2,0.0661
У нее есть седые волосы.,1,0,3,3,0.0693
"В своих статьях этот журналист поставил вопросы, волнующих многих его современников.",0,Syntax,2,5,0.0802
"Я считаю, что он, несомненно, прав.",1,0,3,3,0.0212
Возьми мне из ее чемодана полотенце.,0,Semantics,3,3,0.0491
"Вася сказал: ""У меня кое-что для тебя есть"".",1,0,3,3,0.0697
Он может с кем-нибудь общаться.,0,Semantics,3,3,0.0513
Я говорю с адвокатом.,1,0,1,3,0.0706
Приступать с такими важными сборами к суду над маленьким поэтом — все равно что описывать жизнь какого-нибудь столоначальника тоном Плутарха.,1,0,2,4,0.0973
